Name,Win rate,Loss rate,Team,Games Played,Average Tackles,Average Errors leading to a goal,Average Blocked shots,Average Interceptions,Average Clearances,Average Recoveries,Average Duels won,Average Duels lost,Average Goals,Average Passes,Average Accurate long balls,Average Yellow cards,Average Red cards,Average Fouls
Lewis Dunk,0.2935323383084577,0.39303482587064675,Brighton & Hove Albion,201,1.054726368159204,0.009950248756218905,0.15920398009950248,1.2835820895522387,4.08955223880597,6.407960199004975,4.398009950248756,2.7064676616915424,0.06467661691542288,59.233830845771145,4.746268656716418,0.14925373134328357,0.01990049751243781,0.6119402985074627
Joel Veltman,0.3146067415730337,0.3146067415730337,Brighton & Hove Albion,89,2.235955056179775,0.0,0.1348314606741573,1.0898876404494382,2.146067415730337,4.932584269662922,5.292134831460674,3.606741573033708,0.033707865168539325,45.47191011235955,2.0,0.1348314606741573,0.0,1.0674157303370786
Jan Paul van Hecke,0.5,0.0,Brighton & Hove Albion,4,0.5,0.0,0.0,1.0,0.75,1.0,1.0,0.5,0.0,25.0,0.25,0.0,0.0,0.0
Levi Colwill,0.6,0.3,Brighton & Hove Albion,10,0.2,0.0,0.0,0.8,1.9,4.2,3.8,1.5,0.0,64.1,2.5,0.0,0.0,0.3
Pervis Estupinan,0.5,0.3076923076923077,Brighton & Hove Albion,26,1.8461538461538463,0.0,0.3076923076923077,1.2692307692307692,1.0384615384615385,5.269230769230769,4.1923076923076925,3.9615384615384617,0.0,46.38461538461539,0.9615384615384616,0.11538461538461539,0.0,1.1153846153846154
Thiago Silva,0.4473684210526316,0.2894736842105263,Chelsea,76,1.131578947368421,0.013157894736842105,0.15789473684210525,1.394736842105263,3.5,6.105263157894737,3.6710526315789473,1.855263157894737,0.06578947368421052,81.19736842105263,5.092105263157895,0.07894736842105263,0.013157894736842105,0.4342105263157895
Reece James,0.4897959183673469,0.25510204081632654,Chelsea,98,1.5816326530612246,0.0,0.37755102040816324,0.6938775510204082,1.0510204081632653,4.540816326530612,4.8979591836734695,3.7551020408163267,0.07142857142857142,50.43877551020408,1.989795918367347,0.12244897959183673,0.01020408163265306,0.8367346938775511
Cesar Azpilicueta,0.5539358600583091,0.2099125364431487,Chelsea,343,2.489795918367347,0.0029154518950437317,0.10787172011661808,1.5772594752186588,2.75801749271137,4.8425655976676385,4.973760932944606,3.5393586005830904,0.029154518950437316,57.78717201166181,2.1137026239067054,0.09912536443148688,0.0058309037900874635,0.9183673469387755
Kalidou Koulibaly,0.36363636363636365,0.4090909090909091,Chelsea,22,1.9545454545454546,0.0,0.045454545454545456,1.3181818181818181,3.227272727272727,5.681818181818182,4.045454545454546,3.090909090909091,0.09090909090909091,65.63636363636364,3.0,0.22727272727272727,0.045454545454545456,1.0
Marc Cucurella,0.288135593220339,0.3220338983050847,Chelsea,59,2.694915254237288,0.01694915254237288,0.13559322033898305,0.7796610169491526,1.728813559322034,6.220338983050848,5.067796610169491,3.440677966101695,0.01694915254237288,50.69491525423729,1.4406779661016949,0.1694915254237288,0.0,0.7457627118644068
Ben Chilwell,0.43137254901960786,0.3333333333333333,Chelsea,153,1.4901960784313726,0.006535947712418301,0.1503267973856209,1.0522875816993464,2.215686274509804,4.836601307189542,5.718954248366013,4.836601307189542,0.0784313725490196,45.071895424836605,1.3660130718954249,0.10457516339869281,0.006535947712418301,0.8300653594771242
Wesley Fofana,0.425531914893617,0.3404255319148936,Chelsea,47,1.8936170212765957,0.0,0.0425531914893617,2.127659574468085,3.0638297872340425,5.829787234042553,6.382978723404255,4.085106382978723,0.02127659574468085,62.1063829787234,2.127659574468085,0.2553191489361702,0.0,1.1063829787234043
Trevoh Chalobah,0.5263157894736842,0.18421052631578946,Defender,38,1.631578947368421,0.02631578947368421,0.05263157894736842,0.9210526315789473,2.210526315789474,3.526315789473684,3.9210526315789473,2.8421052631578947,0.07894736842105263,52.39473684210526,1.894736842105263,0.15789473684210525,0.0,0.7368421052631579
Ben Chilwell,0.43137254901960786,0.3333333333333333,Chelsea,153,1.4901960784313726,0.006535947712418301,0.1503267973856209,1.0522875816993464,2.215686274509804,4.836601307189542,5.718954248366013,4.836601307189542,0.0784313725490196,45.071895424836605,1.3660130718954249,0.10457516339869281,0.006535947712418301,0.8300653594771242
Benoit Badiashile,0.3333333333333333,0.2222222222222222,Chelsea,9,1.4444444444444444,0.0,0.2222222222222222,1.4444444444444444,3.2222222222222223,7.111111111111111,4.888888888888889,2.7777777777777777,0.0,72.66666666666667,3.111111111111111,0.1111111111111111,0.0,0.7777777777777778
Joel Ward,0.32,0.44727272727272727,Crystal Palace,275,2.1818181818181817,0.01090909090909091,0.10545454545454545,1.6618181818181819,3.7236363636363636,4.956363636363636,5.643636363636364,3.9672727272727273,0.014545454545454545,34.17818181818182,1.7381818181818183,0.16363636363636364,0.0,1.0072727272727273
Tyrick Mitchell,0.2808988764044944,0.4044943820224719,Crystal Palace,89,2.5730337078651684,0.0,0.06741573033707865,1.101123595505618,2.0786516853932584,5.53932584269663,4.123595505617978,3.101123595505618,0.011235955056179775,35.21348314606742,1.4382022471910112,0.0898876404494382,0.011235955056179775,0.6067415730337079
James Tomkins,0.312280701754386,0.44912280701754387,Crystal Palace,285,1.6245614035087719,0.02456140350877193,0.09824561403508772,1.6,7.4,3.736842105263158,5.231578947368421,3.0035087719298246,0.04912280701754386,31.164912280701753,2.8,0.17543859649122806,0.010526315789473684,0.631578947368421
Marc Guehi,0.2835820895522388,0.34328358208955223,Crystal Palace,67,1.208955223880597,0.014925373134328358,0.11940298507462686,1.0298507462686568,3.582089552238806,5.776119402985074,4.059701492537314,2.328358208955224,0.04477611940298507,61.16417910447761,4.223880597014926,0.1791044776119403,0.0,0.5223880597014925
Joachim Andersen,0.26373626373626374,0.3626373626373626,Crystal Palace,91,1.0,0.02197802197802198,0.04395604395604396,1.120879120879121,4.824175824175824,5.131868131868132,4.076923076923077,2.791208791208791,0.02197802197802198,64.0,6.604395604395604,0.1978021978021978,0.01098901098901099,0.8901098901098901
Nathaniel Clyne,0.3983050847457627,0.3474576271186441,Crystal Palace,236,2.2711864406779663,0.012711864406779662,0.13135593220338984,1.3898305084745763,2.059322033898305,4.415254237288136,3.7161016949152543,2.9152542372881354,0.01694915254237288,39.78389830508475,1.271186440677966,0.1016949152542373,0.0,0.5
Nathan Ferguson,0.0,1.0,Crystal Palace,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Chris Richards,0.125,0.375,Crystal Palace,8,0.875,0.0,0.125,1.0,3.375,1.0,2.25,0.75,0.0,17.875,1.125,0.0,0.0,0.125
Nathan Patterson,0.06666666666666667,0.5333333333333333,Everton,15,2.6,0.0,0.26666666666666666,0.8,1.8666666666666667,4.666666666666667,4.4,3.2666666666666666,0.0,26.2,0.7333333333333333,0.2,0.0,0.5333333333333333
Mason Holgate,0.3870967741935484,0.3467741935483871,Everton,124,1.7338709677419355,0.024193548387096774,0.04838709677419355,1.2016129032258065,3.8225806451612905,4.42741935483871,4.766129032258065,3.3548387096774195,0.024193548387096774,36.74193548387097,3.1774193548387095,0.22580645161290322,0.016129032258064516,0.8467741935483871
Michael Keane,0.3436123348017621,0.4185022026431718,Everton,227,1.0220264317180616,0.013215859030837005,0.1013215859030837,1.6167400881057268,5.71806167400881,4.255506607929515,5.524229074889868,3.4185022026431717,0.05286343612334802,41.46696035242291,3.299559471365639,0.08370044052863436,0.004405286343612335,0.5198237885462555
Yerry Mina,0.4268292682926829,0.34146341463414637,Everton,82,1.1585365853658536,0.036585365853658534,0.10975609756097561,0.8902439024390244,3.682926829268293,3.926829268292683,4.817073170731708,2.8658536585365852,0.07317073170731707,44.52439024390244,2.731707317073171,0.14634146341463414,0.0,0.7804878048780488
Vitalii Mykolenko,0.22727272727272727,0.5227272727272727,Everton,44,1.7954545454545454,0.0,0.09090909090909091,1.2045454545454546,2.3181818181818183,4.5227272727272725,3.477272727272727,3.25,0.022727272727272728,28.59090909090909,1.0909090909090908,0.09090909090909091,0.0,0.9090909090909091
Ben Godfrey,0.25,0.5416666666666666,Everton,96,1.4895833333333333,0.020833333333333332,0.11458333333333333,0.8333333333333334,3.90625,4.427083333333333,4.03125,2.7291666666666665,0.0,39.520833333333336,1.6666666666666667,0.15625,0.010416666666666666,0.5833333333333334
Seamus Coleman,0.39316239316239315,0.32763532763532766,Everton,351,1.7435897435897436,0.017094017094017096,0.16524216524216523,1.0256410256410255,1.96011396011396,4.754985754985755,4.578347578347579,3.868945868945869,0.06267806267806268,31.358974358974358,1.2621082621082622,0.09686609686609686,0.005698005698005698,0.6495726495726496
James Tarkowski,0.30973451327433627,0.43805309734513276,Everton,226,1.6327433628318584,0.017699115044247787,0.10176991150442478,1.3141592920353982,5.3053097345132745,4.212389380530974,6.79646017699115,3.424778761061947,0.035398230088495575,34.17256637168141,3.256637168141593,0.2079646017699115,0.0,0.9380530973451328
Ruben Vinagre,0.3783783783783784,0.32432432432432434,Everton,37,1.2432432432432432,0.0,0.05405405405405406,0.7297297297297297,0.8918918918918919,3.108108108108108,3.189189189189189,3.4054054054054053,0.0,16.91891891891892,0.43243243243243246,0.05405405405405406,0.0,0.5675675675675675
Conor Coady,0.367816091954023,0.3850574712643678,Everton,174,0.8448275862068966,0.022988505747126436,0.028735632183908046,0.7298850574712644,3.4195402298850577,5.17816091954023,2.074712643678161,1.603448275862069,0.034482758620689655,47.270114942528735,5.885057471264368,0.12643678160919541,0.0,0.45977011494252873
Kenny Tete,0.2978723404255319,0.44680851063829785,Lyon,47,2.425531914893617,0.0,0.10638297872340426,1.3829787234042554,2.25531914893617,4.0212765957446805,5.361702127659575,3.4468085106382977,0.0,33.61702127659574,1.425531914893617,0.2127659574468085,0.0,1.2765957446808511
Tim Ream,0.2857142857142857,0.5194805194805194,Fulham,77,1.0649350649350648,0.012987012987012988,0.0,1.4545454545454546,4.246753246753247,5.220779220779221,3.116883116883117,2.5714285714285716,0.012987012987012988,48.5974025974026,2.961038961038961,0.05194805194805195,0.0,0.4675324675324675
Tosin Adarabioyo,0.27450980392156865,0.43137254901960786,Fulham,51,1.0588235294117647,0.0196078431372549,0.0784313725490196,1.2352941176470589,5.705882352941177,4.372549019607843,3.9607843137254903,2.3529411764705883,0.0196078431372549,53.94117647058823,3.2941176470588234,0.0784313725490196,0.0,0.5686274509803921
Antonee Robinson,0.2857142857142857,0.4107142857142857,Fulham,56,1.6785714285714286,0.0,0.07142857142857142,1.4107142857142858,1.9821428571428572,5.803571428571429,4.785714285714286,3.5535714285714284,0.0,39.19642857142857,1.7321428571428572,0.19642857142857142,0.017857142857142856,0.8214285714285714
Shane Duffy,0.2711864406779661,0.3983050847457627,Fulham,118,0.847457627118644,0.00847457627118644,0.11864406779661017,1.1016949152542372,6.262711864406779,3.694915254237288,5.788135593220339,2.847457627118644,0.059322033898305086,37.28813559322034,3.0084745762711864,0.17796610169491525,0.00847457627118644,0.711864406779661
Issa Diop,0.391304347826087,0.4,Fulham,115,1.2869565217391303,0.017391304347826087,0.02608695652173913,1.4521739130434783,4.113043478260869,4.521739130434782,3.7304347826086954,2.5130434782608697,0.06086956521739131,36.59130434782609,1.608695652173913,0.14782608695652175,0.0,0.6347826086956522
Layvin Kurzawa,0.0,0.6666666666666666,Fulham,3,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,0.0,9.0,0.0,0.3333333333333333,0.0,0.3333333333333333
Cedric Soares,0.3765432098765432,0.3888888888888889,Fulham,162,2.074074074074074,0.037037037037037035,0.16049382716049382,1.0987654320987654,2.271604938271605,4.388888888888889,3.7777777777777777,3.5864197530864197,0.018518518518518517,36.02469135802469,2.0,0.13580246913580246,0.0,0.6419753086419753
Luke Ayling,0.3218390804597701,0.47126436781609193,Leeds United,87,2.67816091954023,0.0,0.20689655172413793,0.9655172413793104,1.8505747126436782,6.655172413793103,6.241379310344827,4.816091954022989,0.034482758620689655,51.275862068965516,3.6436781609195403,0.14942528735632185,0.011494252873563218,0.7241379310344828
Junior Firpo,0.20512820512820512,0.5897435897435898,Leeds United,39,2.4871794871794872,0.0,0.05128205128205128,1.1282051282051282,1.4102564102564104,4.102564102564102,4.564102564102564,4.358974358974359,0.02564102564102564,30.794871794871796,0.717948717948718,0.41025641025641024,0.0,1.4615384615384615
Robin Koch,0.3088235294117647,0.4852941176470588,Leeds United,68,1.3676470588235294,0.014705882352941176,0.19117647058823528,1.3088235294117647,3.0,5.0588235294117645,4.5,3.823529411764706,0.0,42.088235294117645,2.161764705882353,0.14705882352941177,0.0,1.0147058823529411
