Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Passes,Average Big chances created,Average Crosses,Average Tackles,Average Interceptions,Average Yellow cards,Average Red cards,Average Fouls
Eberechi Eze,0.3076923076923077,0.44871794871794873,Crystal Palace,78,0.15384615384615385,0.01282051282051282,0.1282051282051282,1.2564102564102564,0.41025641025641024,27.974358974358974,0.14102564102564102,2.1794871794871793,0.9230769230769231,0.48717948717948717,0.08974358974358974,0.0,0.5641025641025641
David Ozoh,0.0,0.0,Crystal Palace,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,0.0,0.7142857142857143,Crystal Palace,7,0.0,0.0,0.0,0.42857142857142855,0.0,6.285714285714286,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,0.2857142857142857
Albert Sambi Lokonga,0.48484848484848486,0.3333333333333333,Crystal Palace,33,0.0,0.0,0.0,0.6060606060606061,0.24242424242424243,36.27272727272727,0.030303030303030304,0.06060606060606061,1.0909090909090908,0.7575757575757576,0.18181818181818182,0.0,0.5757575757575758
Andros Townsend,0.3522727272727273,0.45075757575757575,Everton,264,0.0946969696969697,0.003787878787878788,0.10606060606060606,1.4696969696969697,0.4659090909090909,21.825757575757574,0.17803030303030304,4.416666666666667,1.7348484848484849,0.8712121212121212,0.06439393939393939,0.0,0.42803030303030304
Abdoulaye Doucoure,0.3333333333333333,0.4830917874396135,Everton,207,0.1111111111111111,0.0,0.0966183574879227,1.1884057971014492,0.3526570048309179,45.93719806763285,0.10628019323671498,0.463768115942029,1.821256038647343,1.0434782608695652,0.22705314009661837,0.004830917874396135,1.0579710144927537
Tom Davies,0.4064516129032258,0.33548387096774196,Everton,155,0.03870967741935484,0.0,0.03225806451612903,0.5290322580645161,0.12258064516129032,25.26451612903226,0.04516129032258064,0.3225806451612903,1.167741935483871,0.8903225806451613,0.1870967741935484,0.0,1.0064516129032257
Amadou Onana,0.21428571428571427,0.4642857142857143,Everton,28,0.03571428571428571,0.0,0.03571428571428571,1.1071428571428572,0.21428571428571427,30.678571428571427,0.07142857142857142,0.14285714285714285,2.25,1.0,0.25,0.0,1.5
Isaac Price,0.0,1.0,Everton,2,0.0,0.0,0.0,0.5,0.0,7.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Idrissa Gueye,0.30625,0.45,Everton,160,0.01875,0.0,0.0375,0.65,0.15,50.275,0.025,0.36875,3.85,2.54375,0.2375,0.00625,1.5875
James Garner,0.2727272727272727,0.5454545454545454,Everton,11,0.0,0.0,0.09090909090909091,0.5454545454545454,0.18181818181818182,13.0,0.0,1.4545454545454546,0.7272727272727273,0.45454545454545453,0.09090909090909091,0.0,0.5454545454545454
Harrison Reed,0.33766233766233766,0.37662337662337664,Fulham,77,0.03896103896103896,0.0,0.05194805194805195,0.45454545454545453,0.16883116883116883,35.76623376623377,0.03896103896103896,0.935064935064935,1.7272727272727273,1.12987012987013,0.12987012987012986,0.0,1.0129870129870129
Neeskens Kebano,0.16666666666666666,0.625,Fulham,24,0.0,0.0,0.125,0.6666666666666666,0.08333333333333333,9.708333333333334,0.08333333333333333,1.2083333333333333,0.625,0.041666666666666664,0.0,0.0,0.4583333333333333
Harry Wilson,0.28846153846153844,0.5384615384615384,Fulham,52,0.15384615384615385,0.038461538461538464,0.0,1.3269230769230769,0.4423076923076923,14.923076923076923,0.07692307692307693,0.9807692307692307,0.7115384615384616,0.2692307692307692,0.057692307692307696,0.0,0.34615384615384615
Tom Cairney,0.23376623376623376,0.5714285714285714,Fulham,77,0.03896103896103896,0.0,0.025974025974025976,0.7402597402597403,0.16883116883116883,37.077922077922075,0.1038961038961039,1.4415584415584415,1.0129870129870129,0.45454545454545453,0.06493506493506493,0.0,0.37662337662337664
Joao Palhinha,0.4444444444444444,0.3333333333333333,Fulham,27,0.1111111111111111,0.0,0.0,1.2592592592592593,0.2962962962962963,35.666666666666664,0.0,0.07407407407407407,4.0,1.2962962962962963,0.37037037037037035,0.0,1.1851851851851851
Andreas Pereira,0.44,0.3333333333333333,Fulham,75,0.06666666666666667,0.0,0.13333333333333333,1.3466666666666667,0.48,25.52,0.2,3.6133333333333333,0.64,0.3333333333333333,0.24,0.0,1.0133333333333334
Luke Harris,0.6666666666666666,0.3333333333333333,Fulham,3,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Dan James,0.4019607843137255,0.3431372549019608,Fulham,102,0.11764705882352941,0.0,0.11764705882352941,1.2745098039215685,0.47058823529411764,15.92156862745098,0.1568627450980392,2.019607843137255,0.7450980392156863,0.17647058823529413,0.13725490196078433,0.00980392156862745,0.6078431372549019
Sasa Lukic,0.3333333333333333,0.5,Fulham,6,0.0,0.0,0.0,0.5,0.16666666666666666,23.833333333333332,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.3333333333333333
Tyrese Francois,0.0,0.5,Fulham,2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Forshaw,0.20634920634920634,0.47619047619047616,Leeds United,63,0.0,0.0,0.031746031746031744,0.6666666666666666,0.15873015873015872,35.61904761904762,0.047619047619047616,0.9523809523809523,1.8571428571428572,0.873015873015873,0.14285714285714285,0.0,0.9682539682539683
Jack Harrison,0.31,0.47,Leeds United,100,0.2,0.0,0.15,1.21,0.48,26.32,0.2,4.51,1.57,0.52,0.07,0.0,0.88
Crysencio Summerville,0.2413793103448276,0.5172413793103449,Leeds United,29,0.13793103448275862,0.0,0.06896551724137931,0.896551724137931,0.3103448275862069,13.827586206896552,0.06896551724137931,0.5862068965517241,0.9655172413793104,0.3793103448275862,0.10344827586206896,0.0,0.6551724137931034
Brenden Aaronson,0.23333333333333334,0.5,Leeds United,30,0.03333333333333333,0.0,0.1,1.3,0.26666666666666666,22.5,0.16666666666666666,2.2666666666666666,1.3,0.13333333333333333,0.06666666666666667,0.0,0.43333333333333335
Marc Roca,0.25925925925925924,0.48148148148148145,Leeds United,27,0.037037037037037035,0.0,0.07407407407407407,0.9629629629629629,0.2962962962962963,39.111111111111114,0.1111111111111111,2.259259259259259,2.185185185185185,0.8518518518518519,0.18518518518518517,0.0,1.1481481481481481
Darko Gyabi,0.0,1.0,Leeds United,1,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tyler Adams,0.20833333333333334,0.4583333333333333,Leeds United,24,0.0,0.0,0.0,0.16666666666666666,0.0,55.291666666666664,0.041666666666666664,0.08333333333333333,3.7083333333333335,1.4583333333333333,0.16666666666666666,0.041666666666666664,1.5416666666666667
Weston McKennie,0.25,0.5833333333333334,Leeds United,12,0.0,0.0,0.0,0.5,0.08333333333333333,35.0,0.0,0.4166666666666667,1.4166666666666667,1.3333333333333333,0.4166666666666667,0.0,1.0833333333333333
Harvey Barnes,0.4,0.40714285714285714,Leicester City,140,0.22857142857142856,0.0,0.17857142857142858,2.0142857142857142,0.8285714285714286,21.042857142857144,0.15,1.2357142857142858,0.6928571428571428,0.22142857142857142,0.02857142857142857,0.0,0.6714285714285714
Youri Tielemans,0.4305555555555556,0.3819444444444444,Leicester City,144,0.14583333333333334,0.0,0.13194444444444445,1.5208333333333333,0.4930555555555556,54.34722222222222,0.2152777777777778,2.25,1.9305555555555556,0.7847222222222222,0.1111111111111111,0.0,0.9513888888888888
James Maddison,0.42038216560509556,0.3821656050955414,Leicester City,157,0.267515923566879,0.050955414012738856,0.18471337579617833,2.356687898089172,0.7961783439490446,36.140127388535035,0.2929936305732484,4.7834394904458595,1.375796178343949,0.3375796178343949,0.14012738853503184,0.006369426751592357,0.8089171974522293
Kiernan Dewsbury-Hall,0.32142857142857145,0.4642857142857143,Leicester City,56,0.05357142857142857,0.0,0.07142857142857142,0.7857142857142857,0.16071428571428573,38.857142857142854,0.10714285714285714,2.3392857142857144,1.5892857142857142,0.8392857142857143,0.125,0.017857142857142856,0.9821428571428571
Wilfred Ndidi,0.40641711229946526,0.40106951871657753,Leicester City,187,0.0374331550802139,0.0,0.0481283422459893,1.0106951871657754,0.1657754010695187,49.13368983957219,0.03208556149732621,0.18716577540106952,3.620320855614973,2.053475935828877,0.18181818181818182,0.0106951871657754,1.6149732620320856
Boubakary Soumare,0.3157894736842105,0.5,Leicester City,38,0.0,0.0,0.02631578947368421,0.18421052631578946,0.05263157894736842,29.81578947368421,0.0,0.15789473684210525,1.5789473684210527,0.8947368421052632,0.13157894736842105,0.0,0.9210526315789473
Dennis Praet,0.45,0.4,Leicester City,60,0.05,0.0,0.05,0.4666666666666667,0.11666666666666667,17.2,0.1,0.9,0.9666666666666667,0.48333333333333334,0.05,0.0,0.6
Nampalys Mendy,0.43157894736842106,0.3894736842105263,Leicester City,95,0.010526315789473684,0.0,0.010526315789473684,0.10526315789473684,0.05263157894736842,35.97894736842105,0.0,0.08421052631578947,0.9789473684210527,0.7684210526315789,0.15789473684210525,0.0,0.8
Lewis Brunt,0.0,1.0,Leicester City,2,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabinho,0.6503496503496503,0.13986013986013987,Liverpool,143,0.055944055944055944,0.0,0.04195804195804196,0.5104895104895105,0.15384615384615385,57.13286713286713,0.055944055944055944,0.21678321678321677,1.902097902097902,1.2237762237762237,0.23776223776223776,0.0,1.1608391608391608
Thiago,0.6153846153846154,0.2,Liverpool,65,0.03076923076923077,0.0,0.06153846153846154,0.8615384615384616,0.18461538461538463,65.23076923076923,0.1076923076923077,0.2153846153846154,2.3384615384615386,1.1538461538461537,0.12307692307692308,0.0,1.3076923076923077
