Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Headed goals,Average Penalties scored,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Hit woodworks,Average Big chances missed,Average Passes,Average Big chances created,Average Yellow cards,Average Red cards,Average Fouls,Average Offsides
Dominic Solanke,0.33707865168539325,0.4606741573033708,Bournemouth,89,0.10112359550561797,0.011235955056179775,0.0,0.0,0.10112359550561797,1.4269662921348314,0.5056179775280899,0.033707865168539325,0.19101123595505617,12.561797752808989,0.12359550561797752,0.02247191011235955,0.0,0.6404494382022472,0.14606741573033707
Kieffer Moore,0.19047619047619047,0.5714285714285714,Bournemouth,21,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.8095238095238095,0.2857142857142857,0.0,0.14285714285714285,14.714285714285714,0.047619047619047616,0.0,0.0,1.0476190476190477,0.0
Jaidon Anthony,0.2916666666666667,0.5,Bournemouth,24,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.8333333333333334,0.4166666666666667,0.0,0.041666666666666664,16.208333333333332,0.0,0.08333333333333333,0.0,0.375,0.20833333333333334
Dango Ouattara,0.4166666666666667,0.4166666666666667,Bournemouth,12,0.08333333333333333,0.0,0.0,0.0,0.25,1.5,0.4166666666666667,0.0,0.16666666666666666,16.5,0.25,0.08333333333333333,0.0,0.4166666666666667,0.5
Antoine Semenyo,0.4444444444444444,0.4444444444444444,Bournemouth,9,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111
Eddie Nketiah,0.5238095238095238,0.32142857142857145,Arsenal,84,0.16666666666666666,0.023809523809523808,0.0,0.0,0.03571428571428571,1.1904761904761905,0.4642857142857143,0.10714285714285714,0.19047619047619047,8.535714285714286,0.07142857142857142,0.05952380952380952,0.011904761904761904,0.8571428571428571,0.21428571428571427
Gabriel Martinelli,0.5617977528089888,0.2247191011235955,Arsenal,89,0.29213483146067415,0.033707865168539325,0.011235955056179775,0.0,0.1348314606741573,1.797752808988764,0.6741573033707865,0.056179775280898875,0.1797752808988764,19.44943820224719,0.20224719101123595,0.056179775280898875,0.011235955056179775,0.8651685393258427,0.23595505617977527
Gabriel Jesus,0.7597765363128491,0.11173184357541899,Arsenal,179,0.3743016759776536,0.07262569832402235,0.0223463687150838,0.0,0.18994413407821228,2.2793296089385473,1.0391061452513966,0.061452513966480445,0.4748603351955307,21.18435754189944,0.18435754189944134,0.11173184357541899,0.0,0.8994413407821229,0.5363128491620112
Reiss Nelson,0.4827586206896552,0.2413793103448276,Arsenal,29,0.13793103448275862,0.0,0.0,0.0,0.06896551724137931,0.7931034482758621,0.3448275862068966,0.0,0.034482758620689655,13.379310344827585,0.0,0.034482758620689655,0.0,0.4827586206896552,0.13793103448275862
Leandro Trossard,0.3,0.34615384615384615,Arsenal,130,0.2,0.0,0.007692307692307693,0.0,0.15384615384615385,1.7076923076923076,0.6384615384615384,0.08461538461538462,0.14615384615384616,27.53076923076923,0.18461538461538463,0.038461538461538464,0.0,0.6461538461538462,0.2230769230769231
Leandro Trossard,0.3,0.34615384615384615,Arsenal,130,0.2,0.0,0.007692307692307693,0.0,0.15384615384615385,1.7076923076923076,0.6384615384615384,0.08461538461538462,0.14615384615384616,27.53076923076923,0.18461538461538463,0.038461538461538464,0.0,0.6461538461538462,0.2230769230769231
Ollie Watkins,0.4077669902912621,0.4174757281553398,Aston Villa,103,0.3786407766990291,0.06796116504854369,0.02912621359223301,0.0,0.1262135922330097,2.3980582524271843,1.1650485436893203,0.13592233009708737,0.3786407766990291,18.932038834951456,0.14563106796116504,0.10679611650485436,0.009708737864077669,1.0,0.5922330097087378
Bertrand Traore,0.3333333333333333,0.43333333333333335,Aston Villa,60,0.18333333333333332,0.0,0.0,0.0,0.11666666666666667,1.6,0.5333333333333333,0.03333333333333333,0.06666666666666667,15.85,0.11666666666666667,0.016666666666666666,0.0,0.5833333333333334,0.26666666666666666
Leon Bailey,0.40425531914893614,0.48936170212765956,Aston Villa,47,0.10638297872340426,0.0,0.0,0.0,0.10638297872340426,1.425531914893617,0.44680851063829785,0.0851063829787234,0.06382978723404255,12.48936170212766,0.14893617021276595,0.14893617021276595,0.0,0.851063829787234,0.2553191489361702
Jhon Duran,0.5,0.375,Aston Villa,8,0.0,0.0,0.0,0.0,0.0,0.875,0.25,0.125,0.125,2.375,0.0,0.125,0.0,0.75,0.25
Saman Ghoddos,0.20689655172413793,0.4482758620689655,Brentford,29,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.3103448275862069,0.13793103448275862,0.0,0.034482758620689655,8.517241379310345,0.10344827586206896,0.06896551724137931,0.0,0.4482758620689655,0.0
Ivan Toney,0.3230769230769231,0.36923076923076925,Brentford,65,0.47692307692307695,0.06153846153846154,0.16923076923076924,0.015384615384615385,0.13846153846153847,2.753846153846154,1.0923076923076922,0.09230769230769231,0.3384615384615385,21.815384615384616,0.3384615384615385,0.26153846153846155,0.0,1.4923076923076923,0.7692307692307693
Nathan Young-Coombes,1.0,0.0,Brentford,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Keane Lewis-Potter,0.3,0.1,Brentford,10,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.0,0.2,7.6,0.2,0.0,0.0,0.1,0.1
Danny Welbeck,0.47635135135135137,0.2905405405405405,Brighton & Hove Albion,296,0.20270270270270271,0.06418918918918919,0.0,0.0,0.08445945945945946,1.722972972972973,0.6959459459459459,0.033783783783783786,0.28040540540540543,16.14189189189189,0.11824324324324324,0.04391891891891892,0.0,0.6081081081081081,0.16554054054054054
Jeremy Sarmiento,0.5,0.21428571428571427,Brighton & Hove Albion,14,0.0,0.0,0.0,0.0,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.0,0.0,5.857142857142857,0.0,0.07142857142857142,0.0,0.2857142857142857,0.0
Julio Enciso,0.6363636363636364,0.2727272727272727,Brighton & Hove Albion,11,0.18181818181818182,0.0,0.0,0.0,0.0,1.7272727272727273,1.0909090909090908,0.18181818181818182,0.09090909090909091,7.636363636363637,0.09090909090909091,0.09090909090909091,0.0,0.45454545454545453,0.09090909090909091
