Christian Eriksen,20000000
Mathias Jensen,10000000
Josh Dasilva,10000000
Frank Onyeka,9000000
Shandon Baptiste,3000000
Mads Bidstrup,1000000
Paris Maghoma,200000
Saman Ghoddos,2500000
Myles Peart-Harris,1000000
Yoane Wissa,12000000
Tariqe Fosu,2000000
Max Haygarth,100000
Bryan Mbeumo,22000000
Sergi Canós,14000000
Nathan Young-Coombes,
Ivan Toney,35000000
Marcus Forss,4000000
Halil Dervisoglu,3000000
Edouard Mendy,32000000
Kepa Arrizabalaga,10000000
Marcus Bettinelli,2000000
Lucas Bergström,
Teddy Sharman-Lowe,
Antonio Rüdiger,40000000
Andreas Christensen,35000000
Kurt Zouma,28000000
Trevoh Chalobah,20000000
Malang Sarr,8000000
Thiago Silva,2500000
Jake Clarke-Salter,2000000
Xavier Mbuyamba,500000
Ben Chilwell,38000000
Emerson,14000000
Marcos Alonso,12000000
Abdul-Rahman Baba,2200000
Dylan Williams,200000
Lewis Hall,
Reece James,60000000
César Azpilicueta,9000000
Jorginho,40000000
N'Golo Kanté,40000000
Xavier Simons,300000
Mateo Kovacic,42000000
Saúl Ñíguez,25000000
Ruben Loftus-Cheek,20000000
Billy Gilmour,12000000
Ross Barkley,12000000
Lewis Baker,3000000
Danny Drinkwater,1200000
Charlie Webster,
Mason Mount,75000000
Kai Havertz,70000000
Harvey Vale,400000
Callum Hudson-Odoi,25000000
Kenedy,7000000
Charly Musonda Jr.,900000
Christian Pulisic,42000000
Hakim Ziyech,28000000
Romelu Lukaku,70000000
Tammy Abraham,50000000
Timo Werner,35000000
Jude Soonsup-Bell,300000
Jordan Pickford,20000000
Asmir Begovic,1000000
Andy Lonergan,250000
Harry Tyrer,
Michael Keane,20000000
Yerry Mina,20000000
Ben Godfrey,20000000
Mason Holgate,18000000
Jarrad Branthwaite,3000000
Ryan Astley,
Reece Welch,
Lucas Digne,25000000
Vitaliy Mykolenko,18000000
Niels Nkounkou,2200000
Nathan Patterson,8000000
Jonjoe Kenny,4000000
Seamus Coleman,3000000
Allan,15000000
Jean-Philippe Gbamin,9000000
Donny van de Beek,25000000
Abdoulaye Doucouré,22000000
André Gomes,18000000
Tom Davies,18000000
Fabian Delph,1800000
Tyler Onyango,200000
Isaac Price,
Alex Iwobi,18000000
Dele Alli,16000000
Gylfi Sigurdsson,
Charlie Whitaker,
Demarai Gray,22000000
Anthony Gordon,20000000
Lewis Dobbin,300000
Anwar El Ghazi,9000000
Andros Townsend,5000000
Richarlison,48000000
Dominic Calvert-Lewin,40000000
Moise Kean,24000000
Salomón Rondón,2500000
Cenk Tosun,2000000
Nathan Broadhead,500000
Ellis Simms,300000
Marek Rodak,5000000
Paulo Gazzaniga,2000000
Fabri,500000
Damian Las,50000
Taye Ashby-Hammond,
Tosin Adarabioyo,15000000
Alfie Mawson,2500000
Michael Hector,2000000
Terence Kongolo,1500000
Tim Ream,500000
Antonee Robinson,8000000
Joe Bryan,3000000
Neco Williams,8000000
Kenny Tete,4000000
Steven Sessegnon,1500000
Cyrus Christie,1200000
Denis Odoi,700000
Marlon Fossey,250000
Nathaniel Chalobah,4000000
Frank Anguissa,30000000
Harrison Reed,10000000
Tom Cairney,5000000
Jean Michaël Seri,5000000
Josh Onomah,3500000
Domingos Quina,2200000
Tyrese Francois,500000
Adrion Pajaziti,
Fábio Carvalho,12000000
Bobby De Cordova-Reid,7000000
Neeskens Kebano,3000000
Ivan Cavaleiro,3000000
Ollie O'Neill,
Harry Wilson,17000000
Anthony Knockaert,2000000
Aleksandar Mitrović,20000000
Rodrigo Muniz,5000000
Aboubakar Kamara,3500000
Jay Stansfield,500000
Alisson,50000000
Caoimhín Kelleher,8000000
Loris Karius,1500000
Adrián,1000000
Marcelo Pitaluga,100000
Liam Hughes,
Harvey Davies,
Virgil van Dijk,55000000
Ibrahima Konaté,40000000
Joe Gomez,18000000
Joel Matip,18000000
Nathaniel Phillips,8000000
Sepp van den Berg,5000000
Rhys Williams,4000000
Ben Davies,2500000
Billy Koumetio,800000
Jarell Quansah,
Andrew Robertson,65000000
Konstantinos Tsimikas,15000000
Owen Beck,400000
James Norris,
Trent Alexander-Arnold,80000000
Neco Williams,8000000
Conor Bradley,1000000
Isaac Mabaya,
Fabinho,60000000
Curtis Jones,28000000
Naby Keïta,25000000
Thiago,20000000
Alex Oxlade-Chamberlain,16000000
Jordan Henderson,15000000
Tyler Morton,3000000
James Milner,2000000
Elijah Dixon-Bonner,300000
Harvey Elliott,22000000
Ben Woodburn,1200000
James Balagizi,
Melkamu Frauendorf,
Sadio Mané,70000000
Luis Díaz,65000000
Diogo Jota,60000000
Takumi Minamino,12000000
Mohamed Salah,90000000
Sheyi Ojo,2000000
Kaide Gordon,1500000
Harvey Blair,300000
Roberto Firmino,32000000
Divock Origi,12000000
Max Woltman,300000
Alex McCarthy,3000000
Fraser Forster,2000000
Willy Caballero,250000
Harry Lewis,200000
Jan Bednarek,22000000
Mohammed Salisu,18000000
Jack Stephens,7000000
Lyanco,5000000
Dynel Simeu,1000000
Romain Perraud,8000000
Thierry Small,100000
Tino Livramento,25000000
Kyle Walker-Peters,22000000
Yan Valery,2500000
Ibrahima Diallo,10000000
Oriol Romeu,5000000
James Ward-Prowse,32000000
Stuart Armstrong,6000000
Will Smallbone,2000000
Kgaogelo Chauke,150000
Tyler Dibling,
Mohamed Elyounoussi,12000000
Moussa Djenepo,10000000
Kazeem Olaigbe,
Nathan Redmond,18000000
Nathan Tella,1800000
Theo Walcott,1800000
Armando Broja,22000000
Ché Adams,18000000
Adam Armstrong,15000000
Michael Obafemi,2500000
Dan N'Lundulu,1200000
Shane Long,800000
Illan Meslier,20000000
Kristoffer Klaesson,2000000
Diego Llorente,18000000
Robin Koch,16000000
Liam Cooper,7000000
Charlie Cresswell,3000000
Leo Fuhr Hjelde,800000
Kris Moore,
Pascal Struijk,15000000
Junior Firpo,12000000
Leif Davis,800000
Liam McCarron,500000
Luke Ayling,4000000
Stuart Dallas,4000000
Cody Drameh,3000000
Kalvin Phillips,50000000
Jack Jenkins,150000
Nohan Kenneh,
Mateusz Klich,3000000
Jamie Shackleton,2500000
Adam Forshaw,2000000
Lewis Bate,1000000
Sam Greenwood,2500000
Archie Gray,
Jack Harrison,18000000
Stuart McKinstry,200000
Raphinha,45000000
Daniel James,18000000
Hélder Costa,5000000
Ian Poveda,2000000
Crysencio Summerville,2000000
Patrick Bamford,16000000
Rodrigo,12000000
Tyler Roberts,8000000
Joe Gelhardt,6000000
Danny Ward,6000000
