Player,Annual salary
Fabio Carvalho,2080000
Roberto Firmino,9360000
Mohamed Salah,18200000
Diogo Jota,7280000
Cody Gakpo,3120000
Scott Carson,1560000
Stefan Ortega,2860000
Kyle Walker,8320000
Ruben Dias,9360000
John Stones,13000000
Nathan Ake,4800000
Aymeric Laporte,6240000
Manuel Akanji,9360000
Ilkay Gundogan,7280000
Jack Grealish,15600000
Kevin De Bruyne,20800000
Bernardo Silva,7800000
Phil Foden,11700000
Cole Palmer,1040000
Kalvin Phillips,7800000
Sergio Gomez,2600000
Riyad Mahrez,8320000
Erling Haaland,19500000
Tom Heaton,2180000
Jack Butland,1820000
Victor Lindelof,6240000
Phil Jones,3900000
Harry Maguire,9875000
Raphael Varane,17680000
Diogo Dalot,1300000
Luke Shaw,7800000
Aaron Wan-Bissaka,4680000
Tyrell Malacia,3900000
Brandon Williams,3380000
Bruno Fernandes,12480000
Scott McTominay,3120000
Facundo Pellistri,1040000
Donny van de Beek,6240000
Christian Eriksen,7800000
Kobbie Mainoo,0
Marcel Sabitzer,2860000
Marcus Rashford,10400000
Jadon Sancho,18200000
Anthony Elanga,260000
Anthony Martial,13000000
Martin Dubravka,1976000
Mark Gillespie,600000
Nick Pope,3120000
Paul Dummett,1820000
Fabian Schar,2080000
Jamaal Lascelles,2080000
Jamal Lewis,2000000
Kieran Trippier,5200000
Emil Krafth,2860000
Javier Manquillo,1820000
Dan Burn,1820000
Sven Botman,4680000
Matt Targett,5200000
Matt Ritchie,2340000
Ryan Fraser,2173600
Jacob Murphy,1820000
Miguel Almiron,2201000
Joe Willock,4160000
Sean Longstaff,2600000
Elliot Anderson,1560000
Callum Wilson,2400000
Allan Saint-Maximin,2000000
Alexander Isak,6240000
Anthony Gordon,520000
Dean Henderson,5200000
Wayne Hennessey,780000
Keylor Navas,3380000
Joe Worrall,780000
Scott McKenna,1040000
Steve Cook,1830000
Giulian Biancone,1040000
Omar Richards,1560000
Neco Williams,2600000
Harry Toffolo,780000
Renan Lodi,3240000
Willy Boly,2080000
Serge Aurier,1820000
Jack Colback,780000
Ryan Yates,1300000
Harry Arter,1160000
Jesse Lingard,10400000
Cheikhou Kouyate,2340000
