full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Keinan Davis,Midfielder,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,-1.0049652427972255,44,2340000,,
Ken Sema,Midfielder,0.0,1.0,120.0,1.0,134.0,844.0,0.0,0,-0.5151144843114055,49,780000,,
Kenny Mclean,Midfielder,5.26,6.0,771.0,19.0,322.0,902.0,0.0,5,0.3999444483031238,35,1300000,,
Kevin De Bruyne,Midfielder,26.79,31.0,1118.0,56.0,210.0,1103.0,2.0,2,1.6963430744788162,4,20800000,,
Kieran Dowell,Midfielder,14.29,2.0,214.0,7.0,129.0,0.0,1.0,0,-0.34807520984069884,42,390000,,
Kiernan Dewsbury-Hall,Midfielder,8.33,3.0,930.0,12.0,242.0,526.0,0.0,0,0.11530319568029831,7,104000,,
Lewis Brunt,Midfielder,0.0,0.0,21.0,0.0,4.0,0.0,0.0,1,-0.997580230304085,42,520000,,
Lewis Norman Dobbin,Midfielder,0.0,0.0,5.0,0.0,12.0,29.0,0.0,1,-0.9817792669933303,34,364000,,
Liam McCarron,Midfielder,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.0106613771820399,47,260000,,
Luka Milivojevic,Midfielder,0.0,0.0,385.0,4.0,72.0,776.0,0.0,0,-0.5459630748860506,50,2860000,,
Lukas Rupp,Midfielder,0.0,2.0,319.0,8.0,96.0,0.0,0.0,1,-0.6086345003293275,6,1170000,,
Luke Cundle,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.011282467864855,52,520000,,
Mads Bidstrup,Midfielder,0.0,0.0,10.0,0.0,6.0,0.0,0.0,1,-0.9974058363639652,41,160000,,
Mahmoud Ibrahim Hassan,Midfielder,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1,-1.0076239994686067,45,1690000,,
Manuel Lanzini,Midfielder,38.46,7.0,1101.0,13.0,154.0,894.0,1.0,5,0.6021492092762147,21,3640000,,
Marc Albrighton,Midfielder,33.33,1.0,287.0,3.0,152.0,375.0,2.0,3,0.02976766484515686,4,2340000,,
Mark Noble,Midfielder,50.0,2.0,261.0,2.0,31.0,0.0,0.0,3,-0.26920709554764466,13,2600000,,
Martin Odegaard,Midfielder,21.21,21.0,1341.0,33.0,266.0,698.0,4.0,2,1.4320905057142808,8,4110000,,
Marvelous Nakamba,Midfielder,0.0,0.0,327.0,0.0,127.0,181.0,0.0,1,-0.64174871000726,9,1690000,,
Mason Greenwood,Midfielder,13.16,19.0,389.0,38.0,131.0,1281.0,0.0,4,0.5893380005520131,7,3900000,,
Mason Mount,Midfielder,20.0,29.0,952.0,55.0,230.0,591.0,6.0,2,1.803051863427431,2,4160000,,
Mateo Kovacic,Midfielder,11.76,6.0,1055.0,17.0,190.0,389.0,1.0,5,0.27608971250944264,40,7800000,,
Mateusz Klich,Midfielder,3.7,18.0,776.0,27.0,218.0,417.0,0.0,5,0.42786812684325326,31,403000,,
Mathias Jensen,Midfielder,0.0,5.0,534.0,14.0,160.0,0.0,0.0,0,-0.29765630557578415,34,1040000,,
Mathias Normann,Midfielder,5.0,5.0,535.0,20.0,216.0,275.0,0.0,0,-0.014331162527067377,17,2800000,,
Matt Ritchie,Midfielder,0.0,1.0,393.0,5.0,102.0,267.0,0.0,1,-0.5702484394532096,4,2340000,,
Maximillian James Aarons,Midfielder,0.0,2.0,846.0,7.0,314.0,360.0,1.0,0,0.10503877796491642,8,1170000,,
Michael Olise,Midfielder,13.33,10.0,446.0,15.0,187.0,284.0,3.0,0,0.3159755974551317,2,2470000,,
Miguel Angel Almiron Rejala,Midfielder,5.88,7.0,396.0,17.0,204.0,860.0,0.0,0,0.06716606372205908,9,2201000,,
Milot Rashica,Midfielder,3.12,17.0,325.0,32.0,269.0,0.0,1.0,5,0.4070131345868664,34,31000,,
Mohamed Elneny,Midfielder,0.0,2.0,528.0,5.0,47.0,800.0,1.0,0,-0.39832189809509333,44,2730000,,
Mohamed Elyounoussi,Midfielder,12.9,19.0,428.0,31.0,276.0,511.0,1.0,5,0.7003541195554669,16,3120000,,
Moises Isaac Caicedo Corozo,Midfielder,16.67,4.0,220.0,6.0,74.0,332.0,1.0,0,-0.31588092239835736,37,182000,,
Morgan Gibbs-White,Midfielder,0.0,0.0,7.0,1.0,4.0,7.0,0.0,1,-0.9891228527717758,36,78000,,
Morgan Sanson,Midfielder,0.0,0.0,122.0,1.0,66.0,0.0,0.0,1,-0.8436547520473989,20,2496000,,
Moussa Djenepo,Midfielder,0.0,1.0,106.0,8.0,83.0,151.0,0.0,1,-0.6853414793765759,11,2860000,,
Moussa Sissoko,Midfielder,9.52,8.0,895.0,21.0,359.0,644.0,0.0,5,0.5577107931674834,26,4160000,,
N'Golo Kante,Midfielder,16.67,9.0,1118.0,12.0,210.0,889.0,2.0,5,0.5910855433126286,24,15080000,,
Naby Deco Keita,Midfielder,20.0,7.0,638.0,15.0,146.0,391.0,1.0,0,0.15538706013041195,5,6240000,,
Nampalys Mendy,Midfielder,0.0,1.0,592.0,1.0,86.0,345.0,0.0,1,-0.5649703312214568,3,2860000,,
Nathan Ferguson,Midfielder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.0109719225234475,50,1500000,,
Nathan Redmond,Midfielder,6.67,9.0,491.0,15.0,175.0,0.0,0.0,0,-0.1182052815220576,26,3120000,,
Nathan Tella,Midfielder,0.0,5.0,100.0,9.0,136.0,405.0,0.0,0,-0.4423161398616935,46,650000,,
Nemanja Matic,Midfielder,0.0,1.0,901.0,5.0,162.0,461.0,3.0,0,0.009205236036824632,13,6240000,,
Nikola Vlasic,Midfielder,25.0,3.0,164.0,4.0,89.0,0.0,0.0,3,-0.42294055302204014,17,3640000,,
Ogochukwu Onyeka Frank,Midfielder,0.0,5.0,251.0,11.0,169.0,262.0,0.0,0,-0.3452645141926297,40,960000,,
Oleksandr Zinchenko,Midfielder,0.0,4.0,882.0,10.0,90.0,0.0,1.0,0,-0.2905005943895259,33,1040000,,
Oliver Skipp,Midfielder,0.0,1.0,761.0,3.0,120.0,225.0,0.0,0,-0.45545139258374234,47,40000,,
Onyinye Wilfred Ndidi,Midfielder,0.0,4.0,747.0,9.0,251.0,405.0,0.0,0,-0.05553540024930209,21,3900000,,
Oriol Romeu,Midfielder,11.11,4.0,1373.0,18.0,361.0,322.0,1.0,5,0.6300538270261025,20,3380000,,
Ozan Tufan,Midfielder,0.0,0.0,85.0,3.0,37.0,0.0,0.0,1,-0.8846891733441972,22,1000000,,
Pablo Fornals Malla,Midfielder,20.69,12.0,1028.0,29.0,302.0,701.0,1.0,5,0.893089610340686,10,3500000,,
Pascal Gross,Midfielder,11.76,9.0,919.0,17.0,136.0,2043.0,2.0,4,0.6545399210297838,6,2600000,,
Paul Pogba,Midfielder,4.35,8.0,732.0,23.0,238.0,154.0,2.0,5,0.3288496917008388,37,15080000,,
Pelenda Joshua Tunga Dasilva,Midfielder,0.0,0.0,72.0,0.0,30.0,126.0,0.0,1,-0.9072251450270773,24,936000,,
Philip Foden,Midfielder,21.95,22.0,839.0,41.0,188.0,2133.0,4.0,2,1.5719350699126617,6,624000,,
Philippe Coutinho,Midfielder,14.71,16.0,516.0,34.0,145.0,0.0,0.0,5,0.2808379991848111,39,8580000,,
Pierre Lees Melou,Midfielder,4.55,9.0,790.0,22.0,259.0,454.0,0.0,5,0.28160496854999884,38,1768000,,
Pierre-Emile Hojbjerg,Midfielder,10.0,11.0,2266.0,20.0,313.0,1066.0,2.0,5,1.2305939918086723,2,5300000,,
Robert Kenedy Nunes do Nascimento,Midfielder,0.0,0.0,34.0,0.0,11.0,0.0,0.0,1,-0.9809767664311697,33,1300000,,
Rodri,Midfielder,21.88,14.0,2621.0,32.0,319.0,577.0,1.0,5,1.4787523689820241,1,6300000,,
Rodrigo Bentancur,Midfielder,0.0,2.0,902.0,10.0,159.0,273.0,3.0,0,0.0394687125166866,11,3900000,,
Ross Barkley,Midfielder,12.5,4.0,103.0,8.0,30.0,0.0,0.0,1,-0.6175968633632839,7,4766667,,
Ruben Diogo Da Silva Neves,Midfielder,12.5,16.0,1618.0,32.0,262.0,296.0,2.0,5,1.0327899070321627,6,2600000,,
Ruben Loftus-Cheek,Midfielder,0.0,6.0,857.0,13.0,244.0,1386.0,0.0,4,0.26904163002509096,11,2808000,,
Ryan Fraser,Midfielder,12.5,8.0,299.0,16.0,91.0,490.0,1.0,0,-0.07615114151449134,25,2173600,,
Ryan Sessegnon,Midfielder,0.0,1.0,248.0,4.0,118.0,527.0,2.0,0,-0.35961599758887963,43,3000000,,
Saul Niguez,Midfielder,0.0,1.0,288.0,3.0,70.0,477.0,0.0,1,-0.6364148208149708,8,10310000,,
Scott McTominay,Midfielder,6.67,7.0,1055.0,15.0,364.0,266.0,0.0,5,0.41383295806242404,33,3120000,,
Sean Longstaff,Midfielder,9.09,2.0,478.0,11.0,186.0,1458.0,0.0,4,0.05673493590830897,12,52000,,
Sergi Canos Tenes,Midfielder,13.04,13.0,417.0,23.0,235.0,263.0,2.0,5,0.4468197009558802,29,780000,,
Shandon Baptiste,Midfielder,14.29,4.0,255.0,7.0,105.0,453.0,0.0,0,-0.3275212420712761,39,624000,,
Solomon March,Midfielder,0.0,10.0,493.0,17.0,204.0,1739.0,1.0,4,0.3799613954472906,9,1560000,,
Steven Alzate,Midfielder,0.0,1.0,203.0,1.0,46.0,0.0,0.0,1,-0.8338148300737851,19,780000,,
Stuart Armstrong,Midfielder,7.69,9.0,571.0,26.0,167.0,1470.0,0.0,4,0.35199273701600053,10,2600000,,
Stuart Dallas,Midfielder,5.56,9.0,1065.0,18.0,338.0,584.0,1.0,5,0.5938327062763727,23,416000,,
Stuart McKinstry,Midfielder,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.0106613771820399,48,135200,,
Takumi Minamino,Midfielder,60.0,4.0,58.0,5.0,33.0,176.0,0.0,3,-0.1064775021662395,7,3900000,,
Tanguy Ndombele,Midfielder,20.0,3.0,230.0,5.0,72.0,486.0,0.0,3,-0.36848106929312185,16,10400000,,
Tarique Fosu,Midfielder,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1,-0.9742914469758033,32,260000,,
Taylor Richards,Midfielder,0.0,0.0,21.0,0.0,6.0,0.0,0.0,1,-0.9939898376084807,39,780000,,
Thiago Alcantara,Midfielder,9.09,6.0,1335.0,11.0,199.0,769.0,2.0,5,0.45706501412179157,27,10400000,,
Thomas Partey,Midfielder,6.67,10.0,1031.0,30.0,227.0,406.0,0.0,5,0.4220161192331079,32,10400000,,
Tim Iroegbunam,Midfielder,0.0,0.0,0.0,0.0,0.0,91.0,0.0,1,-0.991174235548707,37,624000,,
Todd Cantwell,Midfielder,0.0,0.0,127.0,4.0,67.0,221.0,0.0,1,-0.7576978748781602,14,1300000,,
Tom Cleverley,Midfielder,0.0,7.0,456.0,8.0,164.0,812.0,1.0,0,-0.07126849794239672,24,2600000,,
Tom Davies,Midfielder,33.33,2.0,60.0,3.0,21.0,232.0,0.0,3,-0.46765033140589074,18,1300000,,
Tomas Soucek,Midfielder,15.15,12.0,1029.0,33.0,463.0,1021.0,0.0,5,1.1477799649166043,4,3500000,,
Tyler Morton,Midfielder,0.0,0.0,30.0,0.0,8.0,66.0,0.0,1,-0.9730205441713524,31,270000,,
Tyler Onyango,Midfielder,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1,-1.0037911371322388,43,12471,,
Vitaly Janelt,Midfielder,21.05,11.0,738.0,19.0,218.0,769.0,0.0,5,0.4476167860019411,28,520000,,
Will Hughes,Midfielder,0.0,0.0,428.0,2.0,124.0,176.0,0.0,1,-0.594357617076399,5,2860000,,
William Smallbone,Midfielder,0.0,0.0,19.0,1.0,13.0,0.0,0.0,1,-0.9707863286459062,30,900000,,
Youri Tielemans,Midfielder,15.38,17.0,1426.0,39.0,312.0,878.0,3.0,2,1.4124993706043245,9,1718000,,
Yves Bissouma,Midfielder,6.25,5.0,1051.0,16.0,247.0,212.0,1.0,5,0.24652149321953504,43,1300000,,
Aaron Cresswell,Defender,18.18,4.0,1410.0,11.0,141.0,909.0,0.0,0,0.45383151018711576,3,2600000,,
Aaron Wan-Bissaka,Defender,0.0,1.0,759.0,2.0,208.0,897.0,0.0,0,-0.19861726268807106,48,4680000,,
Adam Masina,Defender,0.0,0.0,294.0,4.0,116.0,0.0,1.0,1,-0.5288655039284255,10,1456000,,
Adam Webster,Defender,28.57,3.0,935.0,7.0,136.0,286.0,0.0,0,0.2634754232829628,9,1976000,,
Alex Nicolao Telles,Defender,0.0,3.0,747.0,7.0,180.0,1659.0,1.0,5,0.12836067995184108,11,4840000,,
Andreas Christensen,Defender,0.0,0.0,1189.0,5.0,126.0,748.0,0.0,0,-0.1577757110102148,44,4160000,,
Andrew Omobamidele,Defender,100.0,1.0,191.0,1.0,37.0,381.0,0.0,4,0.9775526450679507,2,630000,,
Andrew Robertson,Defender,21.43,8.0,1640.0,14.0,156.0,363.0,7.0,2,1.3508737148200531,3,2600000,,
Angelo Ogbonna,Defender,100.0,1.0,404.0,1.0,60.0,922.0,0.0,4,1.1771138724516617,1,3640000,,
Antonio Rudiger,Defender,8.33,13.0,2195.0,36.0,203.0,337.0,0.0,3,1.0824146435079447,4,5200000,,
Arthur Masuaku,Defender,33.33,1.0,254.0,3.0,100.0,645.0,0.0,4,0.031442550908714485,13,2080000,,
Ashley Young,Defender,0.0,3.0,414.0,7.0,112.0,620.0,1.0,0,-0.254494116780324,51,2600000,,
Axel Tuanzebe,Defender,0.0,1.0,207.0,1.0,39.0,506.0,0.0,1,-0.6567441819061434,22,2600000,,
Aymeric Laporte,Defender,13.33,8.0,2761.0,30.0,160.0,405.0,0.0,3,1.1121781003723246,3,6240000,,
Ben Chilwell,Defender,33.33,6.0,224.0,9.0,62.0,0.0,1.0,4,0.1735693797618403,9,9880000,,
Ben Davies,Defender,8.33,7.0,1341.0,12.0,237.0,423.0,0.0,3,0.37471975057085993,26,3120000,,
Ben Gibson,Defender,0.0,4.0,1111.0,7.0,149.0,499.0,0.0,0,-0.06995089179646581,34,2080000,,
Ben Godfrey,Defender,0.0,7.0,540.0,14.0,186.0,339.0,0.0,0,-0.08518152253456054,37,4000000,,
Ben Mee,Defender,18.75,4.0,530.0,16.0,163.0,613.0,0.0,0,0.19154402125300385,15,2860000,,
Ben White,Defender,0.0,4.0,1531.0,8.0,237.0,960.0,0.0,0,0.26844676254695377,8,6240000,,
Benjamin Johnson,Defender,20.0,1.0,398.0,5.0,108.0,1396.0,0.0,0,0.03346844595263573,25,1000000,,
Benjamin Mendy,Defender,0.0,0.0,71.0,0.0,14.0,0.0,0.0,1,-0.8658060926919767,44,4680000,,
Brandon Williams,Defender,0.0,1.0,763.0,4.0,237.0,265.0,0.0,0,-0.25952217665815547,52,3380000,,
Caglar Soyuncu,Defender,14.29,1.0,1625.0,7.0,251.0,500.0,0.0,0,0.3714155278329955,4,2340000,,
Calum Chambers,Defender,33.33,1.0,462.0,3.0,98.0,1000.0,0.0,4,0.16738066642122912,10,1225000,,
Cedric Soares,Defender,16.67,1.0,730.0,6.0,130.0,495.0,0.0,0,-0.040686531753572945,30,3900000,,
Cesar Azpilicueta,Defender,12.5,4.0,1371.0,8.0,200.0,692.0,0.0,0,0.3313788629113932,6,7800000,,
Charlie Cresswell,Defender,0.0,0.0,0.0,0.0,0.0,137.0,0.0,1,-0.8796254673994833,48,110000,,
Charlie Goode,Defender,0.0,0.0,161.0,2.0,50.0,149.0,0.0,1,-0.7430502878159011,32,292500,,
Charlie Taylor,Defender,0.0,0.0,697.0,6.0,279.0,910.0,1.0,0,-0.018559375771156066,28,1300000,,
Christian Kabasele,Defender,0.0,0.0,367.0,7.0,83.0,0.0,0.0,1,-0.6021127839524679,18,1560000,,
Christoph Zimmermann,Defender,0.0,1.0,46.0,2.0,14.0,0.0,0.0,1,-0.8215370351473543,40,1010000,,
Ciaran Clark,Defender,0.0,1.0,288.0,6.0,76.0,254.0,1.0,1,-0.4736151719016477,5,1820000,,
Cody Drameh,Defender,0.0,0.0,41.0,0.0,14.0,126.0,0.0,1,-0.8524751841415036,43,30000,,
Conor Coady,Defender,50.0,4.0,1506.0,8.0,121.0,673.0,0.0,4,0.9134063421372333,5,858000,,
Conrad Jonathan Egan Riley,Defender,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1,-0.9035636284481213,53,320272,,
Craig Cathcart,Defender,0.0,0.0,735.0,2.0,148.0,798.0,1.0,0,-0.21797700137998838,49,1195000,,
Craig Dawson,Defender,10.53,6.0,1031.0,19.0,246.0,459.0,1.0,3,0.4809918890638229,20,2210000,,
Cristian Gabriel Romero,Defender,25.0,2.0,1136.0,4.0,208.0,231.0,0.0,0,0.27520641769226906,7,8580000,,
Dan Burn,Defender,7.14,5.0,978.0,14.0,240.0,308.0,1.0,3,0.28117510459274203,29,1000000,,
Daniel Amartey,Defender,0.0,1.0,1390.0,2.0,136.0,530.0,0.0,0,-0.12838060297413095,42,1092000,,
Danny Rose,Defender,0.0,1.0,155.0,3.0,81.0,172.0,0.0,1,-0.6669388418955117,24,3120000,,
Davinson Sanchez Mina,Defender,18.18,3.0,984.0,11.0,166.0,406.0,0.0,0,0.21215986336943,14,3380000,,
Diego Llorente,Defender,33.33,3.0,1105.0,9.0,239.0,335.0,0.0,0,0.5466101350864456,1,1144000,,
Dominic Thompson,Defender,0.0,0.0,20.0,1.0,8.0,0.0,0.0,1,-0.8773263229281629,47,182000,,
Emerson Aparecido Leite de Souza Junior,Defender,9.09,4.0,933.0,11.0,302.0,458.0,0.0,0,0.22779153748624187,12,3696030,,
Emerson Palmieri dos Santos,Defender,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-0.904987518614185,54,3510000,,
Emil Krafth,Defender,0.0,2.0,433.0,5.0,139.0,328.0,1.0,0,-0.3264489919341193,54,3000000,,
Eric Bertrand Bailly,Defender,0.0,0.0,68.0,0.0,18.0,218.0,0.0,1,-0.8216123671159036,41,4160000,,
Eric Dier,Defender,0.0,5.0,2041.0,10.0,170.0,3072.0,0.0,5,0.8205013343495288,3,3755200,,
Erik Pieters,Defender,0.0,0.0,171.0,4.0,84.0,727.0,0.0,1,-0.5694558956019412,15,2500000,,
Ethan Pinnock,Defender,7.69,9.0,1065.0,13.0,316.0,2698.0,0.0,5,0.8496565934072396,2,780000,,
Ezri Konsa Ngoyo,Defender,15.38,6.0,869.0,13.0,197.0,310.0,0.0,0,0.25010326757304385,11,1560000,,
Fabian Schar,Defender,12.5,8.0,686.0,16.0,160.0,540.0,1.0,3,0.3358239617615187,27,2080000,,
Federico Fernandez,Defender,0.0,1.0,181.0,4.0,24.0,0.0,0.0,1,-0.7393573195837724,30,2459600,,
Fernando Marcal,Defender,0.0,1.0,534.0,7.0,160.0,484.0,0.0,0,-0.3428435468481607,55,1820000,,
Finley Stevens,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.9053312143927087,56,280000,,
Francisco Femenia Far,Defender,0.0,1.0,647.0,1.0,122.0,1075.0,2.0,0,-0.10878078133531849,40,1040000,,
Gabriel dos Santos Magalhaes,Defender,20.0,12.0,1824.0,25.0,225.0,384.0,0.0,3,1.0165737119583012,5,2600000,,
Grant Hanley,Defender,5.88,4.0,1084.0,17.0,241.0,1450.0,0.0,5,0.4214067144283793,7,1040000,,
Harrison Ashby,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.9053312143927087,55,19760,,
Harry Maguire,Defender,5.26,10.0,1348.0,19.0,199.0,279.0,0.0,3,0.4290047295340259,23,8464286,,
Hector Junior Firpo Adames,Defender,0.0,1.0,632.0,9.0,220.0,156.0,1.0,0,-0.18075562249620036,46,2200000,,
Ibrahima Konate,Defender,0.0,0.0,657.0,4.0,89.0,495.0,0.0,1,-0.44054967531954564,4,3640000,,
Issa Diop,Defender,0.0,2.0,406.0,2.0,61.0,0.0,1.0,1,-0.5189958887956109,9,3484000,,
Jack Stephens,Defender,0.0,0.0,358.0,0.0,66.0,270.0,0.0,1,-0.6603343348761155,23,2496000,,
Jairo Riedewald,Defender,0.0,0.0,45.0,0.0,8.0,0.0,0.0,1,-0.8812233492588292,49,2860000,,
Jamal Lascelles,Defender,7.69,4.0,514.0,13.0,166.0,411.0,0.0,0,-0.07027909570736283,35,2080000,,
Jamal Lewis,Defender,0.0,0.0,62.0,0.0,28.0,263.0,0.0,1,-0.8044291043737211,38,2000000,,
James Justin,Defender,0.0,1.0,451.0,2.0,103.0,0.0,0.0,1,-0.5862029443542552,17,429000,,
James Tarkowski,Defender,5.0,6.0,808.0,20.0,352.0,282.0,0.0,3,0.3058705618151399,28,2600000,,
James Tomkins,Defender,33.33,2.0,276.0,3.0,34.0,273.0,0.0,4,-0.0742059077013682,15,2600000,,
Jan Bednarek,Defender,26.67,7.0,1180.0,15.0,224.0,263.0,0.0,3,0.6182254403502575,12,1040000,,
Jannik Vestergaard,Defender,0.0,0.0,335.0,1.0,53.0,282.0,0.0,1,-0.6675408457496467,25,3390000,,
Japhet Tanganga,Defender,0.0,2.0,291.0,4.0,87.0,185.0,0.0,1,-0.5709037870106082,16,1200000,,
Jarrad Branthwaite,Defender,33.33,2.0,86.0,3.0,35.0,194.0,0.0,4,-0.15325093322208633,16,780000,,
Javier Manquillo Gaitan,Defender,33.33,2.0,230.0,3.0,130.0,252.0,1.0,4,0.10990137015474336,12,1820000,,
Joachim Andersen,Defender,0.0,0.0,0.0,0.0,0.0,729.0,1.0,1,-0.6683876996297026,26,4130000,,
Joao Cancelo,Defender,2.0,23.0,2510.0,50.0,424.0,461.0,3.0,2,2.101402558121443,1,4160000,,
Joe Gomez,Defender,0.0,0.0,199.0,1.0,47.0,164.0,0.0,1,-0.7429053543424091,31,3900000,,
Joe Rodon,Defender,0.0,0.0,29.0,0.0,5.0,0.0,0.0,1,-0.889963064877826,52,500000,,
Joel Matip,Defender,11.54,9.0,2052.0,26.0,256.0,1395.0,1.0,3,1.2062263112362612,2,5200000,,
Joel Veltman,Defender,16.67,3.0,1259.0,6.0,307.0,480.0,1.0,0,0.48543258412310414,2,2000000,,
Joel Ward,Defender,0.0,1.0,1143.0,8.0,257.0,311.0,0.0,0,-0.04872508316575466,32,1820000,,
John Stones,Defender,16.67,5.0,892.0,6.0,82.0,0.0,0.0,0,-0.018205133471017647,27,13000000,,
Jonjoe Kenny,Defender,0.0,0.0,265.0,3.0,71.0,339.0,0.0,1,-0.6364821178683596,20,780000,,
Jonny,Defender,25.0,5.0,422.0,8.0,123.0,1023.0,0.0,0,0.22020210958859776,13,1907000,,
Jonny Evans,Defender,33.33,2.0,830.0,3.0,126.0,450.0,0.0,4,0.24879051183684076,7,4160000,,
Jose Diogo Dalot Teixeira,Defender,0.0,4.0,770.0,12.0,178.0,450.0,0.0,0,-0.10257243736238872,39,1300000,,
Kevin Long,Defender,0.0,0.0,79.0,4.0,30.0,408.0,0.0,1,-0.7192613916776484,28,1200000,,
Ki-Jana Hoever,Defender,0.0,0.0,82.0,1.0,41.0,305.0,0.0,1,-0.763142647002748,33,2100000,,
Kieran Tierney,Defender,10.0,5.0,746.0,10.0,105.0,0.0,1.0,0,-0.0045065237430141625,26,5720000,,
Kieran Trippier,Defender,100.0,2.0,132.0,2.0,48.0,0.0,0.0,4,0.9380405183242347,4,6250000,,
Konstantinos Tsimikas,Defender,0.0,2.0,415.0,5.0,104.0,291.0,0.0,1,-0.4775436669802099,6,3120000,,
Kortney Hause,Defender,50.0,2.0,177.0,2.0,44.0,0.0,0.0,4,0.11648080234663227,11,420000,,
Kristoffer Ajer,Defender,50.0,1.0,505.0,2.0,170.0,400.0,3.0,4,0.7129649343509091,6,1150000,,
Kurt Happy Zouma,Defender,20.0,3.0,870.0,5.0,116.0,2080.0,0.0,5,0.3884407311328478,9,6240000,,
Kyle Walker,Defender,0.0,2.0,1353.0,4.0,98.0,1756.0,2.0,5,0.30107284800996725,10,5720000,,
Kyle Walker-Peters,Defender,6.67,7.0,883.0,15.0,333.0,526.0,2.0,3,0.5504722507830524,15,1200000,,
Leander Dendoncker,Defender,10.0,10.0,703.0,20.0,170.0,486.0,1.0,3,0.4064241832186856,25,6240000,,
Leo Fuhr Hjelde,Defender,0.0,0.0,55.0,0.0,11.0,0.0,0.0,1,-0.8745458083109735,46,52000,,
Lewis Dunk,Defender,7.69,7.0,1714.0,13.0,153.0,515.0,0.0,3,0.43127499447549944,22,2340000,,
Liam Cooper,Defender,0.0,1.0,976.0,5.0,208.0,363.0,0.0,0,-0.18676313968387068,47,338000,,
Lucas Digne,Defender,0.0,3.0,872.0,11.0,250.0,407.0,3.0,3,0.2622950279235638,30,7650000,,
Luke Ayling,Defender,12.5,4.0,1096.0,16.0,290.0,379.0,1.0,3,0.47542511610879334,21,416000,,
Luke Shaw,Defender,0.0,1.0,774.0,5.0,139.0,200.0,2.0,0,-0.1609894707147606,45,6240000,,
Luke Thomas,Defender,0.0,0.0,0.0,0.0,0.0,956.0,1.0,1,-0.6257949655606357,19,600000,,
Lyanco,Defender,0.0,1.0,281.0,3.0,85.0,453.0,0.0,1,-0.5665874699368184,14,2500000,,
Mads Bech Sorensen,Defender,0.0,0.0,347.0,0.0,36.0,278.0,0.0,1,-0.6950197545482292,27,208000,,
Mads Roerslev Rasmussen,Defender,25.0,2.0,198.0,4.0,122.0,1233.0,0.0,0,0.04793151621980248,24,346667,,
Malang Sarr,Defender,0.0,0.0,412.0,1.0,50.0,273.0,0.0,1,-0.6460055526735424,21,6240000,,
Marc Cucurella Saseta,Defender,7.14,3.0,1551.0,14.0,323.0,515.0,1.0,3,0.5508437692865774,14,2600000,,
Marc Guehi,Defender,16.67,5.0,2047.0,12.0,226.0,806.0,1.0,3,0.8606392776642773,7,2610000,,
Marcos Alonso,Defender,16.67,11.0,919.0,24.0,240.0,272.0,2.0,3,0.8052046690936273,9,5200000,,
Mason Holgate,Defender,33.33,3.0,575.0,6.0,193.0,237.0,0.0,0,0.2589061156671855,10,1300000,,
Mathias Jattah-Njie Jorgensen,Defender,100.0,1.0,217.0,1.0,47.0,259.0,0.0,4,0.9743994300377125,3,1716000,,
Matt Doherty,Defender,18.18,6.0,378.0,11.0,78.0,0.0,2.0,0,0.11660971060761802,19,3400000,,
Matt Targett,Defender,10.0,6.0,881.0,10.0,264.0,958.0,1.0,3,0.42127852015960765,24,1820000,,
Matthew Lowton,Defender,16.67,2.0,437.0,6.0,142.0,354.0,1.0,0,-0.026841812093733063,29,1300000,,
Matty Cash,Defender,14.29,13.0,880.0,28.0,372.0,423.0,1.0,3,0.9286460192759788,6,3380000,,
Max Kilman,Defender,10.0,4.0,1303.0,10.0,220.0,896.0,0.0,0,0.35123218759229885,5,780000,,
Michael Keane,Defender,18.75,6.0,926.0,16.0,249.0,698.0,1.0,3,0.5924172282930494,13,3380000,,
Mohamed Salisu Abdul Karim,Defender,0.0,10.0,1357.0,19.0,336.0,297.0,0.0,3,0.49586142791082455,17,2028000,,
Nathan Ake,Defender,40.0,2.0,772.0,5.0,83.0,0.0,0.0,4,0.23403458437124403,8,4800000,,
Nathan Michael Collins,Defender,16.67,5.0,434.0,12.0,177.0,418.0,0.0,0,0.08036786485186542,20,1040000,,
Nathaniel Clyne,Defender,0.0,2.0,443.0,3.0,65.0,1350.0,1.0,0,-0.23616414050870466,50,4200000,,
Neco Williams,Defender,0.0,0.0,8.0,0.0,3.0,0.0,1.0,1,-0.7991821455532097,36,1300000,,
Nelson Semedo,Defender,0.0,4.0,707.0,14.0,259.0,2137.0,1.0,5,0.40494542609475165,8,4000000,,
