full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Gabriel Teodoro Martinelli Silva,Forward,15.0,16.0,419.0,40.0,261.0,621.0,2.0,0,0.3939737302050443,17,4680000,,
Gnaly Maxwell Cornet,Forward,23.68,22.0,266.0,38.0,203.0,887.0,0.0,0,0.6684991146229711,5,3380000,,
Harry Kane,Forward,17.53,55.0,615.0,97.0,436.0,646.0,6.0,5,1.6735120556917864,3,10400000,,
Hee-Chan Hwang,Forward,27.78,12.0,506.0,18.0,246.0,911.0,0.0,0,0.7875808517463285,3,3989440,,
Heung-Min Son,Forward,33.33,49.0,878.0,69.0,266.0,1511.0,3.0,5,2.2343274770982613,2,9984000,,
Ivan Toney,Forward,18.75,30.0,432.0,64.0,539.0,364.0,2.0,1,0.9732398578699075,9,1092000,,
Jadon Sancho,Forward,17.65,9.0,780.0,17.0,163.0,0.0,2.0,0,0.5123522551849549,10,18200000,,
Jamie Vardy,Forward,31.91,26.0,182.0,47.0,141.0,903.0,2.0,0,1.0420971548696538,2,7280000,,
Jarrod Bowen,Forward,21.05,35.0,545.0,57.0,370.0,499.0,6.0,5,1.2141625860636653,5,5000000,,
Jay Rodriguez,Forward,6.45,11.0,181.0,31.0,226.0,458.0,2.0,0,-0.2845110926284313,37,1820000,,
Jean-Philippe Mateta,Forward,15.62,18.0,156.0,32.0,167.0,574.0,0.0,0,0.13726754993251053,30,2775000,,
Jeremy Leonel Sarmiento Morante,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,33,213200,,
Jeremy Ngakia,Forward,0.0,0.0,248.0,4.0,118.0,0.0,0.0,2,-0.8768177857219189,1,130000,,
Joao Pedro Junqueira de Jesus,Forward,8.82,16.0,383.0,34.0,389.0,1636.0,1.0,4,0.16880294662354742,3,650000,,
Joe Gelhardt,Forward,13.33,10.0,104.0,15.0,133.0,184.0,0.0,3,-0.23646302373339373,11,858000,,
Joelinton Cassio Apolinario de Lira,Forward,12.9,14.0,707.0,31.0,529.0,320.0,0.0,1,0.5184069536069812,16,4500000,,
Jordan Ayew,Forward,15.0,8.0,559.0,20.0,401.0,1012.0,2.0,0,0.35061263757424227,20,1690000,,
Joshua King,Forward,12.82,17.0,364.0,39.0,420.0,450.0,1.0,0,0.303969328893081,21,2340000,,
Joshua Sargent,Forward,18.18,3.0,286.0,11.0,228.0,1578.0,1.0,0,0.08578876103530823,31,1352000,,
Juan Camilo Hernandez Suarez,Forward,20.83,11.0,221.0,24.0,194.0,380.0,1.0,0,0.25933362381616554,24,2600000,,
Jurgen Locadia,Forward,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2,-1.1314731499513169,20,2106000,,
Kayky da Silva Chagas,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,27,1300000,,
Kelechi Iheanacho,Forward,17.39,12.0,270.0,23.0,156.0,1260.0,2.0,0,0.21909103582181896,26,3120000,,
Leandro Trossard,Forward,16.0,27.0,876.0,50.0,292.0,1406.0,0.0,1,1.056533127207999,6,1820000,,
Leon Bailey Butler,Forward,7.14,8.0,143.0,14.0,124.0,252.0,2.0,3,-0.45960297961059443,19,5200000,,
Liam Delap,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,26,260000,,
Lucas Rodrigues Moura da Silva,Forward,7.14,12.0,556.0,28.0,311.0,443.0,1.0,0,0.06691101385846604,32,4160000,,
Luis Diaz,Forward,17.39,13.0,385.0,23.0,146.0,0.0,1.0,0,0.2512267758053519,25,2669333,,
Marcus Forss,Forward,0.0,0.0,22.0,2.0,23.0,0.0,0.0,2,-1.1030209916991245,13,260000,,
Marcus Rashford,Forward,23.53,12.0,298.0,17.0,163.0,617.0,0.0,0,0.4014492860149437,15,10400000,,
Matej Vydra,Forward,13.33,7.0,76.0,15.0,120.0,666.0,2.0,3,-0.26152926466185095,12,1820000,,
Michail Antonio,Forward,16.95,29.0,415.0,59.0,489.0,373.0,2.0,1,0.83222444643033,12,3640000,,
Mohamed Said Benrahma,Forward,19.05,22.0,618.0,42.0,213.0,0.0,3.0,1,0.7940566740826415,13,1200000,,
Mohamed Salah,Forward,22.77,60.0,861.0,101.0,309.0,2762.0,7.0,5,2.2599199013690416,1,10400000,,
Moise Kean,Forward,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,-1.1367432409111788,23,2765000,,
Nathan Young-Coombes,Forward,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,-1.1375649220931132,25,230646,,
Neal Maupay,Forward,18.18,15.0,470.0,44.0,261.0,325.0,2.0,0,0.549855696286175,7,2600000,,
Nicolas Pepe,Forward,5.56,9.0,267.0,18.0,135.0,0.0,0.0,3,-0.42227894371281516,18,7280000,,
Odsonne Edouard,Forward,18.75,18.0,306.0,32.0,237.0,392.0,0.0,0,0.3990947457491196,16,4930000,,
Oghenekaro Etebo,Forward,0.0,0.0,150.0,2.0,43.0,132.0,0.0,2,-0.9848166098297262,3,1508000,,
Ollie Watkins,Forward,21.15,32.0,477.0,52.0,380.0,422.0,2.0,1,1.0335878006233579,8,3900000,,
Patrick Bamford,Forward,12.5,5.0,85.0,16.0,43.0,280.0,1.0,3,-0.37352152315864573,15,1820000,,
Patson Daka,Forward,23.81,16.0,164.0,21.0,157.0,580.0,2.0,0,0.4107602816922593,13,3230000,,
Pedro Lomba Neto,Forward,10.0,4.0,168.0,10.0,65.0,155.0,0.0,3,-0.4616122080614975,20,2600000,,
Pierre-Emerick Aubameyang,Forward,16.0,18.0,135.0,25.0,104.0,347.0,0.0,3,0.0710103337413926,6,13000000,,
Raheem Sterling,Forward,28.26,28.0,700.0,46.0,276.0,2127.0,4.0,5,1.4830243971685018,4,15600000,,
Raphael Dias Belloli,Forward,17.74,25.0,743.0,62.0,419.0,417.0,1.0,1,1.0464222555489833,7,3302000,,
Raul Alonso Jimenez Rodriguez,Forward,13.95,16.0,537.0,43.0,434.0,293.0,1.0,1,0.4900083061229639,17,2144000,,
Reiss Nelson,Forward,0.0,0.0,8.0,0.0,2.0,0.0,0.0,2,-1.1306622080558761,19,780000,,
Richarlison de Andrade,Forward,21.28,24.0,327.0,47.0,512.0,281.0,1.0,1,0.7837011114121362,14,4680000,,
Riyad Mahrez,Forward,25.0,23.0,742.0,44.0,142.0,0.0,1.0,1,1.1067623858904694,5,6240000,,
Roberto Firmino,Forward,25.0,11.0,383.0,20.0,147.0,329.0,1.0,0,0.5217838012530793,8,9360000,,
Rodrigo,Forward,17.65,18.0,656.0,34.0,232.0,252.0,1.0,0,0.6576764519507242,6,3900000,,
Romelu Lukaku,Forward,28.57,15.0,231.0,28.0,175.0,1584.0,0.0,0,0.6978676099910412,4,16900000,,
Rondon,Forward,6.67,6.0,115.0,15.0,146.0,157.0,0.0,3,-0.5548588367461601,24,3120000,,
Sadio Mane,Forward,24.24,39.0,801.0,66.0,363.0,565.0,0.0,1,1.5755627681643984,1,5200000,,
Sam Greenwood,Forward,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,-1.1099467070670272,15,70000,,
Saman Ghoddos,Forward,33.33,3.0,137.0,3.0,82.0,264.0,0.0,3,0.4024556502581819,3,780000,,
Samuel Kalu Ojim,Forward,0.0,1.0,54.0,4.0,24.0,0.0,0.0,2,-1.0507560715303057,9,556832,,
Shane Long,Forward,16.67,5.0,43.0,6.0,84.0,301.0,0.0,3,-0.2878472802524652,13,3120000,,
Shola Shoretire,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,29,416000,,
Sonny Perkins,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.1378941866748746,30,1000000,,
Steven Bergwijn,Forward,20.0,10.0,139.0,15.0,74.0,547.0,0.0,3,0.0557091481494515,7,3800000,,
Teemu Pukki,Forward,21.57,27.0,392.0,51.0,290.0,815.0,3.0,1,0.8972590032350093,11,1300000,,
Theo Walcott,Forward,0.0,0.0,58.0,4.0,27.0,0.0,0.0,2,-1.0629002872297595,10,3900000,,
Timo Werner,Forward,14.29,16.0,291.0,28.0,121.0,1285.0,1.0,0,0.1775826942564092,28,14144000,,
Troy Deeney,Forward,0.0,0.0,3.0,2.0,10.0,0.0,0.0,2,-1.1229133737187784,18,3380000,,
Tyler Roberts,Forward,4.0,13.0,207.0,25.0,124.0,195.0,1.0,3,-0.41575961352636737,17,182000,,
Wesley Moraes Ferreira da Silva,Forward,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2,-1.1349337659839602,22,1820000,,
Wilfried Zaha,Forward,27.45,32.0,725.0,51.0,506.0,460.0,0.0,1,1.4985605469366203,3,6760000,,
Wout Weghorst,Forward,8.33,8.0,274.0,24.0,259.0,486.0,1.0,0,-0.21664674219551153,36,1820000,,
Yoane Wissa,Forward,26.92,13.0,186.0,26.0,144.0,0.0,0.0,3,0.4657131609431598,2,620000,,
Aaron Lennon,Midfielder,25.0,4.0,245.0,8.0,166.0,774.0,0.0,3,-0.02290322498831189,5,1820000,,
Abdoulaye Doucoure,Midfielder,9.52,11.0,860.0,21.0,301.0,423.0,2.0,5,0.6363995760730503,18,3900000,,
Adam David Lallana,Midfielder,0.0,4.0,834.0,14.0,152.0,391.0,1.0,0,-0.06267258828659238,23,4700000,,
Adam Forshaw,Midfielder,0.0,4.0,691.0,10.0,179.0,306.0,1.0,0,-0.1224255863611299,27,1040000,,
Ainsley Maitland-Niles,Midfielder,0.0,0.0,104.0,1.0,36.0,0.0,0.0,1,-0.9031004586268024,23,2704000,,
Albert-Mboyo Sambi Lokonga,Midfielder,0.0,8.0,723.0,16.0,98.0,226.0,0.0,0,-0.21604080395348,29,2700000,,
Alex Kral,Midfielder,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,-1.0076920751692506,46,1248000,,
Alex Oxlade-Chamberlain,Midfielder,14.29,3.0,311.0,14.0,83.0,0.0,0.0,1,-0.3915063448132624,1,6240000,,
Alexis Mac Allister,Midfielder,15.62,11.0,840.0,32.0,284.0,529.0,1.0,5,0.7226458210255627,14,1600000,,
Allan,Midfielder,0.0,3.0,767.0,4.0,276.0,243.0,1.0,0,-0.026750206128796573,18,3640000,,
Andre Filipe Tavares Gomes,Midfielder,0.0,4.0,213.0,7.0,122.0,206.0,0.0,1,-0.5194363394414943,2,5835000,,
Andros Townsend,Midfielder,18.75,10.0,307.0,16.0,194.0,486.0,0.0,0,0.12887118396371863,6,2080000,,
Ashley Westwood,Midfielder,0.0,2.0,835.0,6.0,147.0,327.0,1.0,0,-0.21672523241873254,30,1612000,,
Bernardo Silva,Midfielder,23.53,20.0,1688.0,34.0,290.0,477.0,2.0,2,1.3691579875888522,11,1300000,,
Billy Gilmour,Midfielder,0.0,3.0,946.0,9.0,193.0,929.0,0.0,0,-0.0026598787500610455,14,2250000,,
Boubakary Soumare,Midfielder,0.0,2.0,442.0,6.0,136.0,0.0,1.0,0,-0.43077376600437745,45,5150000,,
Bruno Guimaraes Rodriguez Moura,Midfielder,29.41,12.0,435.0,17.0,191.0,258.0,0.0,3,0.28077726564985483,2,5616000,,
Bruno Miguel Borges Fernandes,Midfielder,18.18,29.0,1488.0,55.0,340.0,312.0,5.0,2,1.9952359845713643,1,8022857,,
Bukayo Saka,Midfielder,18.97,31.0,844.0,58.0,371.0,499.0,3.0,2,1.7949851876950835,3,1560000,,
Callum Hudson-Odoi,Midfielder,8.33,7.0,302.0,12.0,113.0,966.0,1.0,0,-0.04134203085404298,20,6240000,,
Carney Chukwuemeka,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.9209102140235885,25,5200000,,
Cheikhou Kouyate,Midfielder,0.0,0.0,655.0,6.0,228.0,659.0,0.0,0,-0.1854021935766194,28,3380000,,
Chem Campbell,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.011282467864855,53,280800,,
Christian Eriksen,Midfielder,6.67,9.0,437.0,15.0,65.0,938.0,2.0,0,0.055567651032671736,10,3900000,,
Christian Norgaard,Midfielder,15.0,9.0,1329.0,20.0,414.0,382.0,2.0,5,0.9827729035819791,7,1040000,,
Christian Pulisic,Midfielder,27.27,11.0,350.0,22.0,190.0,643.0,1.0,5,0.4405489703163443,30,7150000,,
Cole Palmer,Midfielder,0.0,1.0,46.0,2.0,13.0,0.0,0.0,1,-0.9305537029414894,27,700000,,
Connor Roberts,Midfielder,16.67,4.0,468.0,6.0,109.0,846.0,1.0,0,-0.06245543840782064,22,728000,,
Conor Gallagher,Midfielder,19.51,22.0,852.0,41.0,427.0,285.0,2.0,2,1.3894939880206059,10,500000,,
Curtis Jones,Midfielder,7.14,7.0,531.0,14.0,115.0,0.0,0.0,0,-0.2608410707004454,32,390000,,
Dale Stephens,Midfielder,0.0,0.0,46.0,1.0,16.0,122.0,0.0,1,-0.9300577259057,26,1820000,,
Dan Gosling,Midfielder,50.0,1.0,54.0,2.0,25.0,0.0,0.0,3,-0.3648508355814841,15,1820000,,
Daniel Castelo Podence,Midfielder,9.52,15.0,427.0,21.0,182.0,742.0,1.0,0,0.35078082701579716,1,3120000,,
Daniel Chesters,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.011282467864855,51,21840,,
Declan Rice,Midfielder,5.26,8.0,1970.0,19.0,312.0,397.0,3.0,5,0.9550428223726646,8,3120000,,
Dejan Kulusevski,Midfielder,33.33,10.0,393.0,15.0,143.0,422.0,3.0,3,0.4676923172923356,1,5720000,,
Dele Alli,Midfielder,20.0,3.0,279.0,5.0,176.0,247.0,0.0,3,-0.21937565842084464,11,5200000,,
