Player,Salary,Year
Kevin De Bruyne,16683333,2017
Alexis Sanchez,16380000,2017
Paul Pogba,15080000,2017
Mesut Ozil,13975000,2017
Eden Hazard,11700000,2017
Sergio Aguero,11440000,2017
Yaya Toure,11440000,2017
David De Gea,10400000,2017
Alexandre Lacazette,9466673,2017
Romelu Lukaku,9360000,2017
Alvaro Morata,8840000,2017
Virgil Van Dijk,8580000,2017
Wayne Rooney,8320000,2017
David Silva,8320000,2017
Juan Mata,8320000,2017
Pierre-Emerick Aubameyang,8190000,2017
Cesc Fàbregas,8112000,2017
Henrikh Mkhitaryan,7800000,2017
Vincent Kompany,7800000,2017
Raheem Sterling,7800000,2017
Alexis Sanchez,7280000,2017
James Milner,7280000,2017
Ilkay Gundogan,7280000,2017
Javier Chicharito Hernandez,7280000,2017
Daniel Sturridge,6760000,2017
Danny Welbeck,6500000,2017
Aaron Ramsey,6240000,2017
Willian da Silva,6240000,2017
Thibaut Courtois,6240000,2017
Danny Drinkwater,6240000,2017
N'Golo Kante,6240000,2017
David Luiz,6240000,2017
Christian Benteke,6240000,2017
Alex Oxlade-Chamberlain,6240000,2017
Mohamed Salah,6240000,2017
Nicolas Otamendi,6240000,2017
Bernardo Silva,6240000,2017
Victor Lindelof,6240000,2017
Nemanja Matic,6240000,2017
Ashley Young,6240000,2017
Sead Kolasinac,6214000,2017
Ander Herrera,5980000,2017
Hector Bellerin,5720000,2017
Tiemoué Bakayoko,5720000,2017
Anthony Martial,5720000,2017
Marcos Rojo,5720000,2017
Luke Shaw,5720000,2017
Joe Hart,5529333,2017
Jermain Defoe,5380000,2017
Santi Cazorla,5200000,2017
Petr Cech,5200000,2017
César Azpilicueta,5200000,2017
Gary Cahill,5200000,2017
Pedro Rodríguez Ledesma,5200000,2017
Antonio Rudiger,5200000,2017
Mamadou Sakho,5200000,2017
Wilfried Zaha,5200000,2017
Morgan Schneiderlin,5200000,2017
Gylfi Sigurdsson,5200000,2017
Riyad Mahrez,5200000,2017
Jamie Vardy,5200000,2017
Roberto Firmino,5200000,2017
Jordan Henderson,5200000,2017
Dejan Lovren,5200000,2017
Joel Matip,5200000,2017
Fernandinho Luis Roza,5200000,2017
Eliaquim Mangala,5200000,2017
John Stones,5200000,2017
Kyle Walker,5200000,2017
Harry Kane,5200000,2017
Hugo Lloris,5200000,2017
Marko Arnautovic,5200000,2017
Ross Barkley,4766667,2017
Laurent Koscielny,4680000,2017
Per Mertesacker,4680000,2017
Shkodran Mustafi,4680000,2017
Jack Wilshere,4680000,2017
Granit Xhaka,4680000,2017
Marcos Alonso,4680000,2017
Olivier Giroud,4680000,2017
Sadio Mane,4680000,2017
Georginio Wijnaldum,4680000,2017
Benjamin Mendy,4680000,2017
Leroy Sane,4680000,2017
Wilfried Bony,4680000,2017
Andy Carroll,4680000,2017
Jan Vertonghen,4628000,2017
Theo Walcott,4550000,2017
Marouane Fellaini,4550000,2017
Yohan Cabaye,4472000,2017
Antonio Valencia,4420000,2017
Heung-Min Son,4420000,2017
Grzegorz Krychowiak,4264000,2017
Kasper Schmeichel,4160000,2017
Adrien Silva,4160000,2017
Islam Slimani,4160000,2017
Claudio Bravo,4160000,2017
Danilo Luiz da Silva,4160000,2017
Fabian Delph,4160000,2017
Eric Bailly,4160000,2017
Michael Carrick,4160000,2017
Manolo Gabbiadini,4160000,2017
Saido Berahino,4160000,2017
Toby Alderweireld,4160000,2017
Erik Lamela,4160000,2017
Moussa Sissoko,4160000,2017
Mathieu Debuchy,3900000,2017
Victor Moses,3900000,2017
Yannick Bolasie,3900000,2017
Danny Ings,3900000,2017
Gabriel Jesus,3900000,2017
Daley Blind,3900000,2017
Phil Jones,3900000,2017
Jesse Lingard,3900000,2017
Christian Eriksen,3900000,2017
Fernando Llorente,3900000,2017
Jose Fonte,3900000,2017
Pablo Zabaleta,3900000,2017
Asmir Begovic,3640000,2017
Davide Zappacosta,3640000,2017
Leighton Baines,3640000,2017
Davy Klaassen,3640000,2017
Ashley Williams,3640000,2017
Nathaniel Clyne,3640000,2017
Sergio Romero,3640000,2017
Chris Smalling,3640000,2017
Jonjo Shelvey,3640000,2017
Charlie Austin,3640000,2017
Ryan Bertrand,3640000,2017
Fraser Forster,3640000,2017
Kevin Wimmer,3640000,2017
Serge Aurier,3640000,2017
Andre Gray,3640000,2017
Michail Antonio,3640000,2017
Manuel Lanzini,3640000,2017
Angelo Ogbonna,3640000,2017
Winston Reid,3640000,2017
Lucas Moura,3575000,2017
Emerson Palmieri,3510000,2017
Nacho Monreal,3380000,2017
Ben Chilwell,3380000,2017
Ederson Moraes,3380000,2017
Sofiane Boufal,3380000,2017
Mario Lemina,3380000,2017
Oriol Romeu,3380000,2017
Cedric Soares,3380000,2017
Eric Maxim Choupo-Moting,3380000,2017
Mame Diouf,3380000,2017
Xherdan Shaqiri,3380000,2017
Kieran Trippier,3380000,2017
Victor Wanyama,3380000,2017
Troy Deeney,3380000,2017
Jonny Evans,3380000,2017
Shane Long,3210000,2017
John Terry,3120000,2017
Scott Dann,3120000,2017
Connor Wickham,3120000,2017
Michael Keane,3120000,2017
Jordan Pickford,3120000,2017
Cenk Tosun,3120000,2017
Kelechi Iheanacho,3120000,2017
Wes Morgan,3120000,2017
Aleksandar Mitrovic,3120000,2017
Steven Davis,3120000,2017
Wesley Hoedt,3120000,2017
Nathan Redmond,3120000,2017
