Player,Salary,Year
Kevin De Bruyne,16683333,2018
Alexis Sanchez,16380000,2018
N'Golo Kante,15080000,2018
Paul Pogba,15080000,2018
Mesut Ozil,13975000,2018
Eden Hazard,11700000,2018
Sergio Aguero,11440000,2018
Mohamed Salah,10400000,2018
David De Gea,10400000,2018
Harry Kane,10400000,2018
Alexandre Lacazette,9466673,2018
Roberto Firmino,9360000,2018
Romelu Lukaku,9360000,2018
Virgil Van Dijk,8580000,2018
David Silva,8320000,2018
Juan Mata,8320000,2018
Pierre-Emerick Aubameyang,8190000,2018
Cesc Fàbregas,8112000,2018
Henrikh Mkhitaryan,7800000,2018
Kepa Arrizabalaga,7800000,2018
César Azpilicueta,7800000,2018
Raheem Sterling,7800000,2018
Fernandinho Luis Roza,7800000,2018
Vincent Kompany,7800000,2018
Luke Shaw,7800000,2018
Marouane Fellaini,7800000,2018
Jamie Vardy,7280000,2018
Jordan Henderson,7280000,2018
James Milner,7280000,2018
Ilkay Gundogan,7280000,2018
Heung-Min Son,7280000,2018
Javier Chicharito Hernandez,7280000,2018
Christian Pulisic,7150000,2018
Wilfried Zaha,6760000,2018
Kasper Schmeichel,6760000,2018
Daniel Sturridge,6760000,2018
Danny Welbeck,6500000,2018
Max Meyer,6500000,2018
Aaron Ramsey,6240000,2018
Willian da Silva,6240000,2018
Danny Drinkwater,6240000,2018
David Luiz,6240000,2018
Christian Benteke,6240000,2018
Bernard Anicio Caldeira Duarte,6240000,2018
Yerry Mina,6240000,2018
Naby Keita,6240000,2018
Alex Oxlade-Chamberlain,6240000,2018
Riyad Mahrez,6240000,2018
Bernardo Silva,6240000,2018
Frederico de Paula Santos,6240000,2018
Victor Lindelof,6240000,2018
Nemanja Matic,6240000,2018
Ashley Young,6240000,2018
Ander Herrera,5980000,2018
Andriy Yarmolenko,5980000,2018
Andre Gomes,5800000,2018
Hector Bellerin,5720000,2018
Petr Cech,5720000,2018
Jorge Luiz Frello Filho,5720000,2018
Anthony Martial,5720000,2018
André Schurrle,5408000,2018
Jordan Pickford,5208333,2018
Sead Kolasinac,5200000,2018
Bernd Leno,5200000,2018
Granit Xhaka,5200000,2018
Marcos Alonso,5200000,2018
Gary Cahill,5200000,2018
Antonio Rudiger,5200000,2018
Mamadou Sakho,5200000,2018
Morgan Schneiderlin,5200000,2018
Gylfi Sigurdsson,5200000,2018
Dejan Lovren,5200000,2018
Sadio Mane,5200000,2018
Joel Matip,5200000,2018
Fabinho Tavares,5200000,2018
Eliaquim Mangala,5200000,2018
John Stones,5200000,2018
Kyle Walker,5200000,2018
Dele Alli,5200000,2018
Hugo Lloris,5200000,2018
Marko Arnautovic,5200000,2018
Jack Wilshere,5200000,2018
Jose Moutinho,5200000,2018
Rui Patricio,5200000,2018
Sokratis Papastathopoulos,4784000,2018
Ross Barkley,4766667,2018
Laurent Koscielny,4680000,2018
Shkodran Mustafi,4680000,2018
Olivier Giroud,4680000,2018
Richarlison de Andrade,4680000,2018
Lucas Digne,4680000,2018
Harry Maguire,4680000,2018
Alisson Becker,4680000,2018
Georginio Wijnaldum,4680000,2018
Gabriel Jesus,4680000,2018
Benjamin Mendy,4680000,2018
Leroy Sane,4680000,2018
Wilfried Bony,4680000,2018
Andy Carroll,4680000,2018
Jan Vertonghen,4628000,2018
Theo Walcott,4550000,2018
Antonio Valencia,4420000,2018
Felipe Anderson,4420000,2018
Andreas Christensen,4160000,2018
Jonny Evans,4160000,2018
Adrien Silva,4160000,2018
Xherdan Shaqiri,4160000,2018
Fabian Delph,4160000,2018
Claudio Bravo,4160000,2018
Danilo Luiz da Silva,4160000,2018
Eric Bailly,4160000,2018
Marcos Rojo,4160000,2018
Manolo Gabbiadini,4160000,2018
Saido Berahino,4160000,2018
Erik Lamela,4160000,2018
Lucas Moura,4160000,2018
Moussa Sissoko,4160000,2018
Lucas Perez,4160000,2018
Stephan Lichtsteiner,3900000,2018
Lucas Torreira,3900000,2018
Mateo Kovacic,3900000,2018
Victor Moses,3900000,2018
Onyinye Ndidi,3900000,2018
Danny Ings,3900000,2018
Phil Jones,3900000,2018
Jesse Lingard,3900000,2018
Christian Eriksen,3900000,2018
Fernando Llorente,3900000,2018
Pablo Zabaleta,3900000,2018
Asmir Begovic,3640000,2018
Davide Zappacosta,3640000,2018
Leighton Baines,3640000,2018
Idrissa Gueye,3640000,2018
Ashley Williams,3640000,2018
Seamus Coleman,3640000,2018
Ricardo Pereira,3640000,2018
Nathaniel Clyne,3640000,2018
Chris Smalling,3640000,2018
Sergio Romero,3640000,2018
Jonjo Shelvey,3640000,2018
Charlie Austin,3640000,2018
Ryan Bertrand,3640000,2018
Fraser Forster,3640000,2018
Kevin Wimmer,3640000,2018
Serge Aurier,3640000,2018
Abdoulaye Doucouré,3640000,2018
Andre Gray,3640000,2018
Michail Antonio,3640000,2018
Manuel Lanzini,3640000,2018
Angelo Ogbonna,3640000,2018
Winston Reid,3640000,2018
Emerson Palmieri,3510000,2018
Andre-Frank Zambo Anguissa,3484000,2018
Issa Diop,3484000,2018
Nacho Monreal,3380000,2018
Cheikhou Kouyate,3380000,2018
Jean Michael Seri,3380000,2018
Ben Chilwell,3380000,2018
Ederson Moraes,3380000,2018
Mario Lemina,3380000,2018
