full_name,salary,year
Jeffrey Schlupp,2912000,2020
Bjorn Engels,2860000,2020
Ben Mee,2860000,2020
James McArthur,2860000,2020
Luka Milivojevic,2860000,2020
Andros Townsend,2860000,2020
Patrick Van Aanholt,2860000,2020
Nampalys Mendy,2860000,2020
Ibrahima Diallo,2860000,2020
Moussa Djenepo,2860000,2020
Ryan Shawcross,2860000,2020
Kieran Gibbs,2860000,2020
Ruben Loftus-Cheek,2808000,2020
Mohamed Elneny,2730000,2020
Rob Holding,2704000,2020
Edouard Mendy,2704000,2020
Dani Ceballos,2700000,2020
Joe Hart,2700000,2020
Kenny Tete,2650000,2020
Jefferson Lerma,2600000,2020
Calum Chambers,2600000,2020
Gabriel Magalhaes,2600000,2020
Pascal Gross,2600000,2020
Alireza Jahanbakhsh,2600000,2020
Neal Maupay,2600000,2020
Adam Webster,2600000,2020
Danny Welbeck,2600000,2020
James Tarkowski,2600000,2020
Chris Wood,2600000,2020
James McCarthy,2600000,2020
James Tomkins,2600000,2020
Alex Iwobi,2600000,2020
Michael Hector,2600000,2020
Christian Fuchs,2600000,2020
Andrew Robertson,2600000,2020
Adrian San Miguel del Castillo,2600000,2020
Axel Tuanzebe,2600000,2020
Phil Jagielka,2600000,2020
Alex McCarthy,2600000,2020
Joe Allen,2600000,2020
Giannelli Imbula,2600000,2020
Sam Clucas,2600000,2020
Harry Winks,2600000,2020
Tom Cleverley,2600000,2020
Aaron Cresswell,2600000,2020
Mark Noble,2600000,2020
Willy Boly,2600000,2020
Pedro Neto,2600000,2020
Ruben Neves,2600000,2020
Roque Mesa,2548000,2020
Erik Pieters,2500000,2020
Sergio Reguilon,2500000,2020
Jack Stephens,2496000,2020
Federico Fernandez,2459600,2020
Emiliano Martinez,2444000,2020
Robin Koch,2400000,2020
Ferran Torres,2400000,2020
Callum Wilson,2400000,2020
Zack Steffen,2392000,2020
Jake Livermore,2392000,2020
Steve Cook,2340000,2020
Edward Nketiah,2340000,2020
Keinan Davis,2340000,2020
Lewis Dunk,2340000,2020
Jose Izquierdo,2340000,2020
Davy Propper,2340000,2020
Joshua King,2340000,2020
Fabricio Agosto Ramirez,2340000,2020
Marc Albrighton,2340000,2020
Ayoze Perez,2340000,2020
Caglar Soyuncu,2340000,2020
Daniel James,2340000,2020
Matt Ritchie,2340000,2020
Elliot Anderson,2340000,2020
Roberto Pereyra,2340000,2020
Sebastian Prodl,2340000,2020
Jack Butland,2288000,2020
James Ward-Prowse,2253333,2020
Billy Gilmour,2250000,2020
Adama Traore,2236000,2020
Miguel Almiron,2201000,2020
Harry Lewis,2200000,2020
Tom Heaton,2184000,2020
Ryan Fraser,2173600,2020
Raul Jimenez,2144000,2020
Tosin Adarabioyo,2110000,2020
Jeff Hendrick,2100000,2020
Darren Randolph,2100000,2020
Ki-Jana Hoever,2100000,2020
Harry Arter,2080000,2020
William Saliba,2080000,2020
Florin Andone,2080000,2020
Ashley Barnes,2080000,2020
Josh Brownhill,2080000,2020
Kurt Zouma,2080000,2020
Wayne Hennessey,2080000,2020
Tom Cairney,2080000,2020
Dwight Gayle,2080000,2020
Jamaal Lascelles,2080000,2020
Fabian Schar,2080000,2020
Angus Gunn,2080000,2020
Etienne Capoue,2080000,2020
Robert Snodgrass,2080000,2020
Fabian Balbuena,2080000,2020
Ryan Fredericks,2080000,2020
Arthur Masuaku,2080000,2020
Joel Veltman,2000000,2020
Jamal Lewis,2000000,2020
Allan Saint-Maximin,2000000,2020
Branislav Ivanovic,2000000,2020
Jack Cork,1976000,2020
Philippe Sandler,1976000,2020
Martin Dubravka,1976000,2020
Ivan Cavaleiro,1950000,2020
Anthony Knockaert,1950000,2020
Bobby Reid,1950000,2020
Jonny Castro,1907000,2020
Jonny Otto,1907000,2020
Rayan Ait Nouri,1900000,2020
Lewis Cook,1820000,2020
Dan Gosling,1820000,2020
Adam Smith,1820000,2020
Junior Stanislas,1820000,2020
Wesley Moraes,1820000,2020
Matt Targett,1820000,2020
Tariq Lamptey,1820000,2020
Mathew Ryan,1820000,2020
Leandro Trossard,1820000,2020
Robbie Brady,1820000,2020
Nick Pope,1820000,2020
Jay Rodriguez,1820000,2020
Dale Stephens,1820000,2020
Matej Vydra,1820000,2020
Willy Caballero,1820000,2020
Joel Ward,1820000,2020
Marcus Bettinelli,1820000,2020
Steve Mounie,1820000,2020
Patrick Bamford,1820000,2020
Ciaran Clark,1820000,2020
Paul Dummett,1820000,2020
Javier Manquillo,1820000,2020
Henri Saivet,1820000,2020
Nathaniel Chalobah,1820000,2020
Fernando Marcal,1820000,2020
Youri Tielemans,1718000,2020
Douglas Luiz,1709396,2020
Sander Berge,1700000,2020
