Player,Salary,Year
Ibrahima Diallo,2860000,2021
Moussa Djenepo,2860000,2021
Ruben Loftus-Cheek,2808000,2021
Jean-Philippe Mateta,2775000,2021
Mohamed Elneny,2730000,2021
Rob Holding,2704000,2021
Edouard Mendy,2704000,2021
Albert Sambi Lokonga,2700000,2021
Nathaniel Chalobah,2700000,2021
Luis Díaz,2669333,2021
Kenny Tete,2650000,2021
Marc Guehi,2610000,2021
Jefferson Lerma,2600000,2021
Dominic Solanke,2600000,2021
Gabriel Magalhães,2600000,2021
Ashley Young,2600000,2021
Marc Cucurella,2600000,2021
Pascal Gross,2600000,2021
Neal Maupay,2600000,2021
James Tarkowski,2600000,2021
James Tomkins,2600000,2021
Alex Iwobi,2600000,2021
Michael Hector,2600000,2021
Daniel James,2600000,2021
Harry Winks,2600000,2021
Tom Cleverley,2600000,2021
Aaron Cresswell,2600000,2021
Mark Noble,2600000,2021
Willy Boly,2600000,2021
Pedro Neto,2600000,2021
Ruben Neves,2600000,2021
Erik Pieters,2500000,2021
Lyanco Vojnovic,2500000,2021
Sergio Reguilón,2500000,2021
Morgan Sanson,2496000,2021
Jack Stephens,2496000,2021
Adam Armstrong,2490000,2021
Michael Olise,2470000,2021
Federico Fernandez,2459600,2021
Emiliano Martinez,2444000,2021
Robin Koch,2400000,2021
Callum Wilson,2400000,2021
Zack Steffen,2392000,2021
Jake Livermore,2392000,2021
Edward Nketiah,2340000,2021
Lewis Dunk,2340000,2021
Fabricio Agosto Ramírez,2340000,2021
Marc Albrighton,2340000,2021
Ayoze Perez,2340000,2021
Caglar Soyuncu,2340000,2021
Matt Ritchie,2340000,2021
Elliot Anderson,2340000,2021
James Ward-Prowse,2340000,2021
Ryan Bertrand,2300000,2021
Jack Butland,2288000,2021
Billy Gilmour,2250000,2021
Craig Dawson,2210000,2021
Miguel Almiron,2201000,2021
Junior Firpo,2200000,2021
Harry Lewis,2200000,2021
Tom Heaton,2180000,2021
Ryan Fraser,2173600,2021
Emerson Royal,2170000,2021
Raul Jimenez,2144000,2021
Tosin Adarabioyo,2110000,2021
Darren Randolph,2100000,2021
Ki-Jana Hoever,2100000,2021
Lewis Cook,2080000,2021
Shane Duffy,2080000,2021
Ashley Barnes,2080000,2021
Josh Brownhill,2080000,2021
Andros Townsend,2080000,2021
Tom Cairney,2080000,2021
Dwight Gayle,2080000,2021
Jamaal Lascelles,2080000,2021
Fabian Schar,2080000,2021
Fabian Schar,2080000,2021
Ben Gibson,2080000,2021
Étienne Capoue,2080000,2021
Ryan Fredericks,2080000,2021
Arthur Masuaku,2080000,2021
Romain Perraud,2040000,2021
Joel Veltman,2000000,2021
Jamal Lewis,2000000,2021
Allan Saint-Maximin,2000000,2021
Adam Webster,1976000,2021
Jack Cork,1976000,2021
Martin Dubravka,1976000,2021
Ivan Cavaleiro,1950000,2021
Anthony Knockaert,1950000,2021
Bobby Reid,1950000,2021
Jonny Castro,1907000,2021
Jonny Otto,1907000,2021
Steve Cook,1830000,2021
Lewis Cook,1820000,2021
Adam Smith,1820000,2021
Junior Stanislas,1820000,2021
Matt Targett,1820000,2021
Tariq Lamptey,1820000,2021
Leandro Trossard,1820000,2021
Nick Pope,1820000,2021
Jay Rodriguez,1820000,2021
Dale Stephens,1820000,2021
Matej Vydra,1820000,2021
Joel Ward,1820000,2021
Patrick Bamford,1820000,2021
Ciaran Clark,1820000,2021
Paul Dummett,1820000,2021
Javier Manquillo,1820000,2021
Dan Gosling,1820000,2021
Fernando Marçal,1820000,2021
Marcus Bettinelli,1730000,2021
Youri Tielemans,1718000,2021
Harry Wilson,1710000,2021
Douglas Luiz,1709396,2021
Sander Berge,1700000,2021
Marvelous Nakamba,1690000,2021
Jordan Ayew,1690000,2021
Sam Johnstone,1690000,2021
Alfie Mawson,1664000,2021
Ashley Westwood,1612000,2021
Anwar El Ghazi,1610000,2021
Alexis Mac Allister,1600000,2021
Enock Mwepu,1600000,2021
Vladimir Coufal,1600000,2021
Lloyd Kelly,1560000,2021
Jack Stacey,1560000,2021
Bukayo Saka,1560000,2021
Ezri Konsa,1560000,2021
Solly March,1560000,2021
Jóhann Berg Guðmundsson,1560000,2021
Alex Smithies,1560000,2021
Eberech Eze,1560000,2021
Joe Bryan,1560000,2021
Joshua Onomah,1560000,2021
Sam Byram,1560000,2021
Che Adams,1560000,2021
Ben Foster,1560000,2021
Christian Kabasele,1560000,2021
Nathan Ferguson,1500000,2021
David McGoldrick,1500000,2021
José Sá,1490000,2021
Tyrick Mitchell,1456000,2021
Adam Masina,1456000,2021
Antonee Robinson,1430000,2021
Rhian Brewster,1430000,2021
William Troost-Ekong,1430000,2021
Nuno Tavares,1404000,2021
Ahmed Hegazy,1378000,2021
Dominic Solanke,1300000,2021
John McGinn,1300000,2021
Pontus Jansson,1300000,2021
David Raya,1300000,2021
Yves Bissouma,1300000,2021
Phil Bardsley,1300000,2021
Matthew Lowton,1300000,2021
Charlie Taylor,1300000,2021
Sean Morrison,1300000,2021
Josh Murphy,1300000,2021
Robert Kenedy,1300000,2021
Tom Davies,1300000,2021
Demarai Gray,1300000,2021
Mason Holgate,1300000,2021
Maxime le Marchand,1300000,2021
Neco Williams,1300000,2021
Diogo Dalot,1300000,2021
Karl Darlow,1300000,2021
Jacob Murphy,1300000,2021
Angus Gunn,1300000,2021
Tim Krul,1300000,2021
Kenny McLean,1300000,2021
Teemu Pukki,1300000,2021
Lys Mousset,1300000,2021
Pierluigi Gollini,1300000,2021
Joe Ralls,1275000,2021
Dominic Calvert-Lewin,1248000,2021
Calum Chambers,1225000,2021
Kevin Long,1200000,2021
Mohammed Salisu,1200000,2021
Kyle Walker-Peters,1200000,2021
Japhet Tanganga,1200000,2021
Saïd Benrahma,1200000,2021
Florent Hadergjonaj,1196000,2021
Craig Cathcart,1195000,2021
Callum Paterson,1170000,2021
Max Aarons,1170000,2021
Lukas Rupp,1170000,2021
Harry Arter,1160000,2021
Kristoffer Ajer,1150000,2021
Kevin McDonald,1144000,2021
Illan Meslier,1144000,2021
Diego Llorente,1144000,2021
Isaac Hayden,1144000,2021
Romain Saiss,1144000,2021
Matt Clarke,1140000,2021
Terence Kongolo,1140000,2021
Ryan Christie,1110000,2021
Ivan Toney,1092000,2021
Daniel Amartey,1092000,2021
Abdallah Sima,1070000,2021
Grady Diangana,1058200,2021
Salomon Rondon,1050000,2021
David Brooks,1040000,2021
