Player,Salary,Year
David De Gea,19500000,2019
Kevin De Bruyne,16683333,2019
Raheem Sterling,15600000,2019
N'Golo Kante,15080000,2019
Paul Pogba,15080000,2019
Mesut Ozil,13975000,2019
Anthony Martial,13000000,2019
Sergio Aguero,11967000,2019
Mohamed Salah,10400000,2019
Marcus Rashford,10400000,2019
Harry Kane,10400000,2019
Tanguy Ndombele,10400000,2019
Alexandre Lacazette,9466673,2019
Roberto Firmino,9360000,2019
Virgil Van Dijk,8580000,2019
Harry Maguire,8464286,2019
David Silva,8320000,2019
Juan Mata,8320000,2019
Pierre-Emerick Aubameyang,8190000,2019
Bruno Fernandes,8022857,2019
Kepa Arrizabalaga,7800000,2019
César Azpilicueta,7800000,2019
Mateo Kovacic,7800000,2019
Fernandinho Luis Roza,7800000,2019
Bernardo Silva,7800000,2019
Nicolas Pepe,7280000,2019
Jamie Vardy,7280000,2019
Jordan Henderson,7280000,2019
James Milner,7280000,2019
Ilkay Gundogan,7280000,2019
Heung-Min Son,7280000,2019
Christian Pulisic,7150000,2019
Wilfried Zaha,6760000,2019
Kasper Schmeichel,6760000,2019
David Luiz,6535000,2019
Max Meyer,6500000,2019
Rodrigo Hernández Cascante,6300000,2019
Willian da Silva,6240000,2019
Danny Drinkwater,6240000,2019
Callum Hudson-Odoi,6240000,2019
Christian Benteke,6240000,2019
Bernard Anicio Caldeira Duarte,6240000,2019
Yerry Mina,6240000,2019
Naby Keita,6240000,2019
Alex Oxlade-Chamberlain,6240000,2019
Aymeric Laporte,6240000,2019
Riyad Mahrez,6240000,2019
Luke Shaw,6240000,2019
Frederico de Paula Santos,6240000,2019
Victor Lindelof,6240000,2019
Nemanja Matic,6240000,2019
Sebastien Haller,6000000,2019
Conor Townsend,5980000,2019
Andriy Yarmolenko,5980000,2019
Andre Gomes,5835000,2019
Hector Bellerin,5720000,2019
Tiemoué Bakayoko,5720000,2019
Jorge Luiz Frello Filho,5720000,2019
Olivier Giroud,5720000,2019
Kyle Walker,5720000,2019
André Schurrle,5408000,2019
Jordan Pickford,5208333,2019
Sead Kolasinac,5200000,2019
Bernd Leno,5200000,2019
Granit Xhaka,5200000,2019
Marcos Alonso,5200000,2019
Antonio Rudiger,5200000,2019
Mamadou Sakho,5200000,2019
Wilfried Zaha,5200000,2019
Morgan Schneiderlin,5200000,2019
Gylfi Sigurdsson,5200000,2019
Dejan Lovren,5200000,2019
Sadio Mane,5200000,2019
Fabinho Tavares,5200000,2019
John Stones,5200000,2019
Dele Alli,5200000,2019
Hugo Lloris,5200000,2019
Jack Wilshere,5200000,2019
Rui Patricio,5200000,2019
Jared Bowen,5000000,2019
Sokratis Papastathopoulos,4784000,2019
Ross Barkley,4766667,2019
Gabriel Martinelli,4680000,2019
Shkodran Mustafi,4680000,2019
Michy Batshuayi,4680000,2019
Richarlison de Andrade,4680000,2019
Lucas Digne,4680000,2019
Alisson Becker,4680000,2019
Georginio Wijnaldum,4680000,2019
Gabriel Jesus,4680000,2019
Benjamin Mendy,4680000,2019
Leroy Sane,4680000,2019
Aaron Wan-Bissaka,4680000,2019
Wilfried Bony,4680000,2019
Leander Dendoncker,4680000,2019
Jan Vertonghen,4628000,2019
Theo Walcott,4550000,2019
Joelinton Cassio Apolinário de Lira,4500000,2019
Felipe Anderson,4420000,2019
Kieran Tierney,4200000,2019
Andreas Christensen,4160000,2019
Mason Mount,4160000,2019
Fabian Delph,4160000,2019
Jonny Evans,4160000,2019
Adrien Silva,4160000,2019
Xherdan Shaqiri,4160000,2019
Claudio Bravo,4160000,2019
Joao Cancelo,4160000,2019
Eric Bailly,4160000,2019
Marcos Rojo,4160000,2019
Saido Berahino,4160000,2019
Erik Lamela,4160000,2019
Lucas Moura,4160000,2019
Moussa Sissoko,4160000,2019
Lucas Torreira,3900000,2019
Jean-Philippe Gbamin,3900000,2019
Onyinye Ndidi,3900000,2019
Dennis Praet,3900000,2019
Trent Alexander-Arnold,3900000,2019
Joe Gomez,3900000,2019
Takumi Minamino,3900000,2019
Phil Jones,3900000,2019
Jesse Lingard,3900000,2019
Andy Carroll,3900000,2019
Danny Ings,3900000,2019
Pablo Zabaleta,3900000,2019
Steven Bergwijn,3800000,2019
Seamus Coleman,3640000,2019
Ricardo Pereira,3640000,2019
Nathaniel Clyne,3640000,2019
Sergio Romero,3640000,2019
Jonjo Shelvey,3640000,2019
Ryan Bertrand,3640000,2019
Kevin Wimmer,3640000,2019
Serge Aurier,3640000,2019
Giovani Lo Celso,3640000,2019
Abdoulaye Doucouré,3640000,2019
Andre Gray,3640000,2019
Charlie Austin,3640000,2019
Michail Antonio,3640000,2019
Manuel Lanzini,3640000,2019
Angelo Ogbonna,3640000,2019
Emerson Palmieri,3510000,2019
Pablo Fornals,3500000,2019
Andre-Frank Zambo Anguissa,3484000,2019
Issa Diop,3484000,2019
Gary Cahill,3380000,2019
Cheikhou Kouyate,3380000,2019
Leighton Baines,3380000,2019
Jean Michael Seri,3380000,2019
Ben Chilwell,3380000,2019
Ederson Moraes,3380000,2019
Sofiane Boufal,3380000,2019
Oriol Romeu,3380000,2019
Cedric Soares,3380000,2019
Eric Maxim Choupo-Moting,3380000,2019
Davinson Sanchez,3380000,2019
Troy Deeney,3380000,2019
Lukasz Fabianski,3380000,2019
Nathaniel Phillips,3360000,2019
Ismaila Sarr,3276000,2019
Patrick Cutrone,3272000,2019
Shane Long,3210000,2019
Callum Wilson,3120000,2019
Scott Dann,3120000,2019
Vicente Guaita,3120000,2019
Connor Wickham,3120000,2019
Michael Keane,3120000,2019
Cenk Tosun,3120000,2019
Aleksandar Mitrovic,3120000,2019
Kelechi Iheanacho,3120000,2019
Wes Morgan,3120000,2019
Divock Origi,3120000,2019
Nathan Redmond,3120000,2019
Jannik Vestergaard,3120000,2019
Bruno Martins Indi,3120000,2019
Ben Davies,3120000,2019
Eric Dier,3120000,2019
Danny Rose,3120000,2019
Gerard Deulofeu,3120000,2019
Nacer Chadli,3120000,2019
Declan Rice,3120000,2019
Daniel Podence,3120000,2019
Adam Lallana,3042000,2019
Reece James,3016000,2019
Tammy Abraham,3000000,2019
Pedro Rodríguez Ledesma,3000000,2019
Emil Krafth,3000000,2019
Ryan Sessegnon,3000000,2019
Jeffrey Schlupp,2912000,2019
Bjorn Engels,2860000,2019
Ben Mee,2860000,2019
James McArthur,2860000,2019
Luka Milivojevic,2860000,2019
Jairo Riedewald,2860000,2019
Andros Townsend,2860000,2019
Patrick Van Aanholt,2860000,2019
Oumar Niasse,2860000,2019
Demarai Gray,2860000,2019
Vicente Iborra,2860000,2019
James Maddison,2860000,2019
Moussa Djenepo,2860000,2019
Ryan Shawcross,2860000,2019
Kieran Gibbs,2860000,2019
Conor Coady,2860000,2019
Ruben Loftus-Cheek,2808000,2019
Yoshinori Muto,2808000,2019
Moise Kean,2765000,2019
Ainsley Maitland-Niles,2704000,2019
Rob Holding,2704000,2019
Dani Ceballos,2700000,2019
Jefferson Lerma,2600000,2019
Calum Chambers,2600000,2019
Pascal Gross,2600000,2019
Alireza Jahanbakhsh,2600000,2019
Neal Maupay,2600000,2019
Martin Montoya,2600000,2019
Adam Webster,2600000,2019
James Tarkowski,2600000,2019
Chris Wood,2600000,2019
James McCarthy,2600000,2019
James Tomkins,2600000,2019
Alex Iwobi,2600000,2019
Michael Hector,2600000,2019
Christian Fuchs,2600000,2019
Nampalys Mendy,2600000,2019
Andrew Robertson,2600000,2019
Adrian San Miguel del Castillo,2600000,2019
Axel Tuanzebe,2600000,2019
Phil Jagielka,2600000,2019
Stuart Armstrong,2600000,2019
Pierre-Emile Hojbjerg,2600000,2019
Alex McCarthy,2600000,2019
Maya Yoshida,2600000,2019
Joe Allen,2600000,2019
Giannelli Imbula,2600000,2019
Sam Clucas,2600000,2019
Harry Winks,2600000,2019
Tom Cleverley,2600000,2019
Aaron Cresswell,2600000,2019
Mark Noble,2600000,2019
Carlos Sanchez,2600000,2019
Willy Boly,2600000,2019
Pedro Neto,2600000,2019
Ruben Neves,2600000,2019
Roque Mesa,2548000,2019
Erik Pieters,2500000,2019
Jack Stephens,2496000,2019
Bojan Krkic,2496000,2019
Jake Livermore,2392000,2019
Steve Cook,2340000,2019
Joshua King,2340000,2019
Edward Nketiah,2340000,2019
Lewis Dunk,2340000,2019
Jose Izquierdo,2340000,2019
Davy Propper,2340000,2019
Steven Defour,2340000,2019
Joe Hart,2340000,2019
Fabricio Agosto Ramírez,2340000,2019
Marc Albrighton,2340000,2019
Ayoze Perez,2340000,2019
Caglar Soyuncu,2340000,2019
Marlos Moreno,2340000,2019
Matteo Darmian,2340000,2019
Daniel James,2340000,2019
Matt Ritchie,2340000,2019
Gonzalez Baston,2340000,2019
Daryl Janmaat,2340000,2019
Roberto Pereyra,2340000,2019
Sebastian Prodl,2340000,2019
Diogo Jota,2340000,2019
