full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Gnaly Maxwell Cornet,Forward,23.68,22.0,266.0,38.0,203.0,887,0,0,0.6303133357136353,5
Harry Kane,Forward,17.53,55.0,615.0,97.0,436.0,646,6,5,1.6172055304796942,3
Hee-Chan Hwang,Forward,27.78,12.0,506.0,18.0,246.0,911,0,0,0.796291769460574,3
Heung-Min Son,Forward,33.33,49.0,878.0,69.0,266.0,1511,3,5,2.2078523646282324,2
Ivan Toney,Forward,18.75,30.0,432.0,64.0,539.0,364,2,1,0.9000039892166518,10
Jadon Sancho,Forward,17.65,9.0,780.0,17.0,163.0,0,2,0,0.5356417290661409,7
Jamie Vardy,Forward,31.91,26.0,182.0,47.0,141.0,903,2,0,1.0256012863953552,2
Jarrod Bowen,Forward,21.05,35.0,545.0,57.0,370.0,499,6,5,1.2453031899847014,5
Jay Rodriguez,Forward,6.45,11.0,181.0,31.0,226.0,458,2,0,-0.2785969668896835,37
Jean-Philippe Mateta,Forward,15.62,18.0,156.0,32.0,167.0,574,0,0,0.10272988888556348,31
Jeremy Leonel Sarmiento Morante,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,33
Jeremy Ngakia,Forward,0.0,0.0,248.0,4.0,118.0,0,0,2,-0.8654743795762989,1
João Pedro Junqueira de Jesus,Forward,8.82,16.0,383.0,34.0,389.0,1636,1,4,0.1851770641995015,4
Joe Gelhardt,Forward,13.33,10.0,104.0,15.0,133.0,184,0,3,-0.24449493773952544,12
Joelinton Cassio Apolinário de Lira,Forward,12.9,14.0,707.0,31.0,529.0,320,0,1,0.4779086576378721,16
Jordan Ayew,Forward,15.0,8.0,559.0,20.0,401.0,1012,2,0,0.3999202522655475,14
Joshua King,Forward,12.82,17.0,364.0,39.0,420.0,450,1,0,0.27021623818719004,22
Joshua Sargent,Forward,18.18,3.0,286.0,11.0,228.0,1578,1,0,0.15330823250704056,29
Juan Camilo Hernández Suárez,Forward,20.83,11.0,221.0,24.0,194.0,380,1,0,0.25788910049060143,24
Jürgen Locadia,Forward,0.0,0.0,1.0,1.0,3.0,0,0,2,-1.1132124011111881,20
Kayky da Silva Chagas,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,27
Kelechi Iheanacho,Forward,17.39,12.0,270.0,23.0,156.0,1260,2,0,0.2695524539738997,23
Leandro Trossard,Forward,16.0,27.0,876.0,50.0,292.0,1406,0,1,1.0075688035472108,6
Leon Bailey Butler,Forward,7.14,8.0,143.0,14.0,124.0,252,2,3,-0.4211948371029171,17
Liam Delap,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,26
Lucas Rodrigues Moura da Silva,Forward,7.14,12.0,556.0,28.0,311.0,443,1,0,0.058293698423219104,32
Luis Díaz,Forward,17.39,13.0,385.0,23.0,146.0,0,1,0,0.23972095459163467,25
Marcus Forss,Forward,0.0,0.0,22.0,2.0,23.0,0,0,2,-1.0870660237571654,14
Marcus Rashford,Forward,23.53,12.0,298.0,17.0,163.0,617,0,0,0.40289777104004576,12
Matěj Vydra,Forward,13.33,7.0,76.0,15.0,120.0,666,2,3,-0.21195329616408629,10
Michail Antonio,Forward,16.95,29.0,415.0,59.0,489.0,373,2,1,0.770810386765493,13
Mohamed Saïd Benrahma,Forward,19.05,22.0,618.0,42.0,213.0,0,3,1,0.7806622352154727,12
Mohamed Salah,Forward,22.77,60.0,861.0,101.0,309.0,2762,7,5,2.284215964143469,1
Moise Kean,Forward,0.0,0.0,1.0,0.0,1.0,0,0,2,-1.1161767111728806,23
Nathan Young-Coombes,Forward,0.0,0.0,0.0,0.0,1.0,0,0,2,-1.116998392354815,25
Neal Maupay,Forward,18.18,15.0,470.0,44.0,261.0,325,2,0,0.5214661927735048,9
Nicolas Pépé,Forward,5.56,9.0,267.0,18.0,135.0,0,0,3,-0.4432164701415699,19
Odsonne Édouard,Forward,18.75,18.0,306.0,32.0,237.0,392,0,0,0.3586339048624073,19
Oghenekaro Etebo,Forward,0.0,0.0,150.0,2.0,43.0,132,0,2,-0.9645657092567287,5
Ollie Watkins,Forward,21.15,32.0,477.0,52.0,380.0,422,2,1,0.9899089095102604,7
Patrick Bamford,Forward,12.5,5.0,85.0,16.0,43.0,280,1,3,-0.3597742937163062,15
Patson Daka,Forward,23.81,16.0,164.0,21.0,157.0,580,2,0,0.4437026996019964,11
Pedro Lomba Neto,Forward,10.0,4.0,168.0,10.0,65.0,155,0,3,-0.4590590209578426,20
Pierre-Emerick Aubameyang,Forward,16.0,18.0,135.0,25.0,104.0,347,0,3,0.04522543665401369,7
Raheem Sterling,Forward,28.26,28.0,700.0,46.0,276.0,2127,4,5,1.5505905406737732,4
Raphael Dias Belloli,Forward,17.74,25.0,743.0,62.0,419.0,417,1,1,0.9585622210274315,8
Raúl Alonso Jiménez Rodríguez,Forward,13.95,16.0,537.0,43.0,434.0,293,1,1,0.4419225355889927,17
Reiss Nelson,Forward,0.0,0.0,8.0,0.0,2.0,0,0,2,-1.1100956783175777,19
Richarlison de Andrade,Forward,21.28,24.0,327.0,47.0,512.0,281,1,1,0.726001677955392,14
Riyad Mahrez,Forward,25.0,23.0,742.0,44.0,142.0,0,1,1,1.0468351658151902,5
Roberto Firmino,Forward,25.0,11.0,383.0,20.0,147.0,329,1,0,0.5279026093672924,8
Rodrigo,Forward,17.65,18.0,656.0,34.0,232.0,252,1,0,0.6290083667891235,6
Romelu Lukaku,Forward,28.57,15.0,231.0,28.0,175.0,1584,0,0,0.7054234661530517,4
Rondon,Forward,6.67,6.0,115.0,15.0,146.0,157,0,3,-0.5637694642450042,24
Sadio Mané,Forward,24.24,39.0,801.0,66.0,363.0,565,0,1,1.4623356520821136,1
Sam Greenwood,Forward,0.0,0.0,0.0,0.0,0.0,0,2,2,-1.0474589579169578,10
Saman Ghoddos,Forward,33.33,3.0,137.0,3.0,82.0,264,0,3,0.4246967025640483,3
Samuel Kalu Ojim,Forward,0.0,1.0,54.0,4.0,24.0,0,0,2,-1.0394126653846858,9
Shane Long,Forward,16.67,5.0,43.0,6.0,84.0,301,0,3,-0.2713194077066499,13
Shola Shoretire,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,29
Sonny Perkins,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,30
Steven Bergwijn,Forward,20.0,10.0,139.0,15.0,74.0,547,0,3,0.05949104887867553,6
Teemu Pukki,Forward,21.57,27.0,392.0,51.0,290.0,815,3,1,0.8896366657865588,11
Theo Walcott,Forward,0.0,0.0,58.0,4.0,27.0,0,0,2,-1.0515568810841396,11
Timo Werner,Forward,14.29,16.0,291.0,28.0,121.0,1285,1,0,0.19636822181611968,28
Troy Deeney,Forward,0.0,0.0,3.0,2.0,10.0,0,0,2,-1.1069584057768194,18
Tyler Roberts,Forward,4.0,13.0,207.0,25.0,124.0,195,1,3,-0.42553073242238976,18
Wesley Moraes Ferreira da Silva,Forward,0.0,0.0,2.0,0.0,4.0,0,0,2,-1.1143672362456618,22
Wilfried Zaha,Forward,27.45,32.0,725.0,51.0,506.0,460,0,1,1.4165029251885537,3
Wout Weghorst,Forward,8.33,8.0,274.0,24.0,259.0,486,1,0,-0.21464150143857502,36
Yoane Wissa,Forward,26.92,13.0,186.0,26.0,144.0,0,0,3,0.42632938732904796,2
