full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Harrison Ashby,Defender,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.8571330912305845,55
Harry Maguire,Defender,5.26,10.0,1348.0,19.0,199.0,279,0,3,0.5329254852090692,14
Hector Junior Firpo Adames,Defender,0.0,1.0,632.0,9.0,220.0,156,1,0,-0.34441351363860195,49
Ibrahima Konate,Defender,0.0,0.0,657.0,4.0,89.0,495,0,1,-0.5118382584490345,8
Issa Diop,Defender,0.0,2.0,406.0,2.0,61.0,0,1,1,-0.5105473541311587,7
Jack Stephens,Defender,0.0,0.0,358.0,0.0,66.0,270,0,1,-0.6731131071165821,22
Jairo Riedewald,Defender,0.0,0.0,45.0,0.0,8.0,0,0,1,-0.8373460036468661,48
Jamal Lascelles,Defender,7.69,4.0,514.0,13.0,166.0,411,0,0,-0.07725649827507401,32
Jamal Lewis,Defender,0.0,0.0,62.0,0.0,28.0,263,0,1,-0.7960274670868622,38
James Justin,Defender,0.0,1.0,451.0,2.0,103.0,0,0,1,-0.5782416425240058,13
James Tarkowski,Defender,5.0,6.0,808.0,20.0,352.0,282,0,3,0.20765648921707033,29
James Tomkins,Defender,33.33,2.0,276.0,3.0,34.0,273,0,4,0.1520751763320201,15
Jan Bednarek,Defender,26.67,7.0,1180.0,15.0,224.0,263,0,3,0.7703306378228002,11
Jannik Vestergaard,Defender,0.0,0.0,335.0,1.0,53.0,282,0,1,-0.6806688640063678,24
Japhet Tanganga,Defender,0.0,2.0,291.0,4.0,87.0,185,0,1,-0.5562638105037583,11
Jarrad Branthwaite,Defender,33.33,2.0,86.0,3.0,35.0,194,0,4,0.07990156461192893,16
Javier Manquillo Gaitan,Defender,33.33,2.0,230.0,3.0,130.0,252,1,4,0.23622381235403547,12
Joachim Andersen,Defender,0.0,0.0,0.0,0.0,0.0,729,1,1,-0.7386613338490814,28
Joao Cancelo,Defender,2.0,23.0,2510.0,50.0,424.0,461,3,2,2.0672788981858274,1
Joe Gomez,Defender,0.0,0.0,199.0,1.0,47.0,164,0,1,-0.7417224312423467,29
Joe Rodon,Defender,0.0,0.0,29.0,0.0,5.0,0,0,1,-0.8444654276845523,52
Joel Matip,Defender,11.54,9.0,2052.0,26.0,256.0,1395,1,3,1.087849757142405,5
Joel Veltman,Defender,16.67,3.0,1259.0,6.0,307.0,480,1,0,0.41143032236285426,4
Joel Ward,Defender,0.0,1.0,1143.0,8.0,257.0,311,0,0,-0.1905839725606259,38
John Stones,Defender,16.67,5.0,892.0,6.0,82.0,0,0,0,0.18019111946733907,15
Jonjoe Kenny,Defender,0.0,0.0,265.0,3.0,71.0,339,0,1,-0.6771688523140466,23
Jonny,Defender,25.0,5.0,422.0,8.0,123.0,1023,0,0,0.33423347837212725,9
Jonny Evans,Defender,33.33,2.0,830.0,3.0,126.0,450,0,4,0.40877711675213296,10
Jose Diogo Dalot Teixeira,Defender,0.0,4.0,770.0,12.0,178.0,450,0,0,-0.15613516546266415,36
Kevin Long,Defender,0.0,0.0,79.0,4.0,30.0,408,0,1,-0.7505221966213763,32
Ki-Jana Hoever,Defender,0.0,0.0,82.0,1.0,41.0,305,0,1,-0.7719472806161407,35
Kieran Tierney,Defender,10.0,5.0,746.0,10.0,105.0,0,1,0,0.06938156571187788,25
Kieran Trippier,Defender,100.0,2.0,132.0,2.0,48.0,0,0,4,1.5587266085393758,2
Konstantinos Tsimikas,Defender,0.0,2.0,415.0,5.0,104.0,291,0,1,-0.4882746122201023,3
Kortney Hause,Defender,50.0,2.0,177.0,2.0,44.0,0,0,4,0.46175886518318815,8
Kristoffer Ajer,Defender,50.0,1.0,505.0,2.0,170.0,400,3,4,0.7745431232328763,6
Kurt Happy Zouma,Defender,20.0,3.0,870.0,5.0,116.0,2080,0,5,0.3423007082344915,5
Kyle Walker,Defender,0.0,2.0,1353.0,4.0,98.0,1756,2,5,0.062226965402505705,9
Kyle Walker-Peters,Defender,6.67,7.0,883.0,15.0,333.0,526,2,3,0.4078468037747924,22
Leander Dendoncker,Defender,10.0,10.0,703.0,20.0,170.0,486,1,3,0.4765770381059906,19
Leo Fuhr Hjelde,Defender,0.0,0.0,55.0,0.0,11.0,0,0,1,-0.8322887542803207,46
Lewis Dunk,Defender,7.69,7.0,1714.0,13.0,153.0,515,0,3,0.5052097608213653,16
Liam Cooper,Defender,0.0,1.0,976.0,5.0,208.0,363,0,0,-0.2883015983263958,43
Lucas Digne,Defender,0.0,3.0,872.0,11.0,250.0,407,3,3,0.0020031362547067583,30
Luke Ayling,Defender,12.5,4.0,1096.0,16.0,290.0,379,1,3,0.3623662832682981,24
Luke Shaw,Defender,0.0,1.0,774.0,5.0,139.0,200,2,0,-0.31012803747271384,46
Luke Thomas,Defender,0.0,0.0,0.0,0.0,0.0,956,1,1,-0.717364966814548,27
Lyanco,Defender,0.0,1.0,281.0,3.0,85.0,453,0,1,-0.5976480464897845,15
Mads Bech Sorensen,Defender,0.0,0.0,347.0,0.0,36.0,278,0,1,-0.6923461437345181,25
Mads Roerslev Rasmussen,Defender,25.0,2.0,198.0,4.0,122.0,1233,0,0,0.08413250760218723,23
Malang Sarr,Defender,0.0,0.0,412.0,1.0,50.0,273,0,1,-0.6566689299951611,19
Marc Cucurella Saseta,Defender,7.14,3.0,1551.0,14.0,323.0,515,1,3,0.36205414831179933,25
Marc Guehi,Defender,16.67,5.0,2047.0,12.0,226.0,806,1,3,0.8180976371323052,10
Marcos Alonso,Defender,16.67,11.0,919.0,24.0,240.0,272,2,3,0.8474794075415504,9
Mason Holgate,Defender,33.33,3.0,575.0,6.0,193.0,237,0,0,0.41183762253586326,3
Mathias Jattah-Njie Jorgensen,Defender,100.0,1.0,217.0,1.0,47.0,259,0,4,1.54968921935306,3
Matt Doherty,Defender,18.18,6.0,378.0,11.0,78.0,0,2,0,0.2220490574760238,13
Matt Targett,Defender,10.0,6.0,881.0,10.0,264.0,958,1,3,0.34729746834382835,27
Matthew Lowton,Defender,16.67,2.0,437.0,6.0,142.0,354,1,0,-0.027789756349024735,29
Matty Cash,Defender,14.29,13.0,880.0,28.0,372.0,423,1,3,0.9531152046898386,6
Max Kilman,Defender,10.0,4.0,1303.0,10.0,220.0,896,0,0,0.3011462800680244,10
Michael Keane,Defender,18.75,6.0,926.0,16.0,249.0,698,1,3,0.5620361594945568,13
Mohamed Salisu Abdul Karim,Defender,0.0,10.0,1357.0,19.0,336.0,297,0,3,0.49489997195241014,17
Nathan Ake,Defender,40.0,2.0,772.0,5.0,83.0,0,0,4,0.48400104222940105,7
Nathan Michael Collins,Defender,16.67,5.0,434.0,12.0,177.0,418,0,0,0.1507712853469,19
Nathaniel Clyne,Defender,0.0,2.0,443.0,3.0,65.0,1350,1,0,-0.3627731080850208,51
Neco Williams,Defender,0.0,0.0,8.0,0.0,3.0,0,1,1,-0.8026837736967409,40
Nelson Semedo,Defender,0.0,4.0,707.0,14.0,259.0,2137,1,5,0.08679734924241592,8
Nicolas N'Koulou,Defender,0.0,0.0,50.0,0.0,6.0,0,0,1,-0.8367077191417889,47
Nuno Albertino Varela Tavares,Defender,5.26,2.0,481.0,19.0,159.0,585,0,0,-0.2040765312159147,39
Ozan Muhammed Kabak,Defender,0.0,2.0,349.0,3.0,108.0,462,0,1,-0.5052449278992769,6
Pablo Mari Villar,Defender,0.0,0.0,79.0,1.0,18.0,180,0,1,-0.7971276777666476,39
Pascal Struijk,Defender,11.11,4.0,1065.0,9.0,201.0,260,0,0,0.16782084872072872,16
Paul Dummett,Defender,0.0,0.0,38.0,0.0,23.0,99,0,1,-0.8223625732982658,42
Phil Jones,Defender,0.0,0.0,71.0,0.0,11.0,0,0,1,-0.8267896218239448,45
Pontus Jansson,Defender,17.65,11.0,1205.0,17.0,263.0,475,1,3,0.9052123357377018,8
Przemyslaw Placheta,Defender,0.0,7.0,98.0,7.0,55.0,504,0,1,-0.3123924768045969,2
Raphael Varane,Defender,16.67,1.0,1005.0,6.0,131.0,0,1,0,0.07251208129795644,24
Rayan Ait Nouri,Defender,9.09,4.0,578.0,11.0,256.0,457,0,0,0.01626258416902453,26
Reece James,Defender,20.83,10.0,1232.0,24.0,200.0,311,5,2,1.1239590728969355,4
Ricardo Domingos Barbosa Pereira,Defender,16.67,2.0,426.0,6.0,132.0,331,1,0,-0.03912916353239758,30
