full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary
Daniel William John Ings,Forward,19.44,18.0,251.0,36.0,194.0,476,1,0,0.3777011002955502,18,6240000
Danny Welbeck,Forward,15.38,22.0,211.0,39.0,186.0,0,1,0,0.21468661642843198,26,2860000
Demarai Gray,Forward,13.16,17.0,514.0,38.0,261.0,784,0,0,0.3445645679490867,20,1300000
Diogo Jota,Forward,21.13,33.0,556.0,71.0,382.0,791,3,1,1.179870923619002,4,4700000
Divock Origi,Forward,37.5,5.0,29.0,8.0,15.0,0,0,3,0.5025303143387438,1,3120000
Dominic Calvert-Lewin,Forward,18.52,13.0,163.0,27.0,259.0,643,1,0,0.20096900124525013,27,1248000
Dwight Gayle,Forward,0.0,0.0,13.0,2.0,8.0,30,0,2,-1.0969592523079075,16,2080000
Dwight McNeil,Forward,0.0,15.0,729.0,32.0,400.0,3114,0,4,0.1868121491255459,3,260000
Edinson Cavani,Forward,14.29,8.0,172.0,14.0,54.0,0,0,3,-0.22658835443678227,11,13000000
Edward Nketiah,Forward,20.83,12.0,174.0,24.0,124.0,275,0,3,0.16916290103323176,5,2340000
Emmanuel Bonaventure Dennis,Forward,22.73,26.0,393.0,44.0,529.0,288,3,1,0.9398231078148302,9,300000
Evan Ferguson,Forward,0.0,0.0,0.0,0.0,0.0,0,0,2,-1.1173276569365764,28,156000
Fabio Daniel Soares Silva,Forward,0.0,5.0,92.0,13.0,99.0,0,0,2,-0.8970669720656359,3,4160000
Ferran Torres Garcia,Forward,25.0,4.0,54.0,8.0,20.0,0,0,3,0.011449822548416318,8,2400000
Francisco Antonio Machado Mota de Castro Trincao,Forward,8.0,14.0,342.0,25.0,202.0,0,0,0,-0.1643103758822553,35,1070832
Francisco Jorge Tavares Oliveira,Forward,0.0,2.0,55.0,4.0,59.0,0,2,2,-0.9407792906490056,4,950000
Francisco Sierralta Carvallo,Forward,0.0,1.0,142.0,1.0,35.0,0,0,2,-0.9704001536695857,6,494000
Gabriel Jesus,Forward,18.18,25.0,625.0,44.0,242.0,1878,4,5,1.0029825354218873,6,4680000
Gabriel Teodoro Martinelli Silva,Forward,15.0,16.0,419.0,40.0,261.0,621,2,0,0.3844406537607145,16,4680000
Gnaly Maxwell Cornet,Forward,23.68,22.0,266.0,38.0,203.0,887,0,0,0.6303133357136353,5,3380000
Harry Kane,Forward,17.53,55.0,615.0,97.0,436.0,646,6,5,1.6172055304796942,3,10400000
Hee-Chan Hwang,Forward,27.78,12.0,506.0,18.0,246.0,911,0,0,0.796291769460574,3,3989440
