full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Harvey Lewis Barnes,Midfielder,13.33,24.0,538.0,45.0,267.0,1052,3,2,0.901395908413542,13
Hassane Kamara,Midfielder,25.0,1.0,498.0,4.0,188.0,325,0,3,0.1853576215675844,13
Hélder Wander Sousa Azevedo Costa,Midfielder,0.0,0.0,5.0,1.0,4.0,0,0,1,-0.8982067640758228,40
Ibrahima Diallo,Midfielder,0.0,4.0,357.0,7.0,116.0,1014,0,0,-0.45783234883130874,39
İlkay Gündoğan,Midfielder,20.51,19.0,1154.0,39.0,142.0,1855,0,4,1.101163065117176,2
Imran Louza,Midfielder,0.0,4.0,502.0,11.0,163.0,237,0,0,-0.44753574291038706,38
Isaac Hayden,Midfielder,33.33,1.0,260.0,3.0,123.0,201,0,3,0.2808350934005395,10
Isaac Price,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.9058250044366012,54
Ismaïla Sarr,Midfielder,14.71,17.0,321.0,34.0,226.0,932,1,4,0.4959304915873761,7
Jack Cork,Midfielder,25.0,2.0,421.0,4.0,155.0,419,0,3,0.1765030688847844,15
Jack Grealish,Midfielder,12.5,16.0,819.0,24.0,236.0,639,1,5,0.545422663717111,21
Jack Harrison,Midfielder,29.63,17.0,615.0,27.0,405.0,883,1,5,1.097346122167869,5
Jacob Murphy,Midfielder,4.55,5.0,290.0,22.0,191.0,364,1,0,-0.2633526831901259,26
Jacob Ramsey,Midfielder,26.09,11.0,881.0,23.0,312.0,413,0,5,0.786637074581104,10
Jakob Sørensen,Midfielder,0.0,1.0,241.0,2.0,65.0,0,0,1,-0.741906108904449,13
Jakub Moder,Midfielder,0.0,6.0,568.0,18.0,200.0,1702,2,4,-0.0701947155822097,10
James Maddison,Midfielder,22.22,34.0,771.0,54.0,254.0,822,3,2,1.5317565144645933,4
James McArthur,Midfielder,0.0,3.0,755.0,5.0,202.0,359,2,0,-0.27139323689285383,27
James Milner,Midfielder,0.0,2.0,603.0,7.0,108.0,422,1,0,-0.43469054345020314,36
James Ward-Prowse,Midfielder,25.64,24.0,1578.0,39.0,235.0,643,3,2,1.6055809276457802,3
Jamie Shackelton,Midfielder,0.0,1.0,299.0,3.0,97.0,177,0,1,-0.6802204816314931,9
Jean-Philippe Gbamin,Midfielder,0.0,0.0,16.0,0.0,10.0,0,0,1,-0.8947120462837317,35
Jeff Hendrick,Midfielder,100.0,1.0,27.0,1.0,6.0,0,0,3,2.028192524240846,1
Jeffrey Schlupp,Midfielder,17.39,9.0,487.0,23.0,281.0,1846,1,4,0.506851782459994,4
Jesse Lingard,Midfielder,28.57,6.0,128.0,7.0,34.0,355,0,3,0.2180126099186407,11
João Moutinho,Midfielder,13.33,7.0,1658.0,15.0,278.0,744,1,5,0.6663972571147643,15
Johann Berg Guðmunds­son,Midfielder,0.0,5.0,198.0,12.0,136.0,553,1,0,-0.47422273171267054,42
John McGinn,Midfielder,9.09,16.0,981.0,33.0,426.0,387,1,5,0.6051919562593696,18
Jonjo Shelvey,Midfielder,8.0,14.0,731.0,25.0,112.0,285,1,0,0.23306730287990857,5
Jordan Henderson,Midfielder,9.52,6.0,1841.0,21.0,159.0,867,3,5,0.6777200677993583,13
Jorginho,Midfielder,50.0,9.0,1679.0,12.0,263.0,456,0,5,1.6943764706770843,1
Joseph Willock,Midfielder,8.0,11.0,444.0,25.0,293.0,0,0,5,0.03643158895987031,43
Josh Brownhill,Midfielder,10.53,9.0,867.0,19.0,287.0,295,0,5,0.2371472953861059,34
Juan Mata,Midfielder,0.0,1.0,182.0,3.0,22.0,0,0,1,-0.7818812947638024,18
Juraj Kucka,Midfielder,2.86,11.0,467.0,35.0,353.0,385,1,5,0.049641626057617336,39
Kai Havertz,Midfielder,19.51,23.0,531.0,41.0,250.0,604,3,2,0.9774433033914233,12
Kalvin Phillips,Midfielder,0.0,3.0,774.0,12.0,213.0,399,1,0,-0.27308684133172734,28
Kasey McAteer,Midfielder,0.0,0.0,1.0,0.0,0.0,0,0,1,-0.9054109439813909,49
Keinan Davis,Midfielder,0.0,0.0,3.0,0.0,3.0,0,0,1,-0.9032364258101189,44
Ken Sema,Midfielder,0.0,1.0,120.0,1.0,134.0,844,0,0,-0.6715438634759138,50
Kenny Mclean,Midfielder,5.26,6.0,771.0,19.0,322.0,902,0,5,0.04556391448567708,41
Kevin De Bruyne,Midfielder,26.79,31.0,1118.0,56.0,210.0,1103,2,2,1.6987197441153232,1
Kieran Dowell,Midfielder,14.29,2.0,214.0,7.0,129.0,0,1,0,-0.22013041371492714,21
Kiernan Dewsbury-Hall,Midfielder,8.33,3.0,930.0,12.0,242.0,526,0,0,0.014015861873123911,9
Lewis Brunt,Midfielder,0.0,0.0,21.0,0.0,4.0,0,0,1,-0.8953345385293836,37
Lewis Norman Dobbin,Midfielder,0.0,0.0,5.0,0.0,12.0,29,0,1,-0.8951650541217131,36
Liam McCarron,Midfielder,0.0,0.0,2.0,0.0,0.0,0,0,1,-0.9049968835261808,47
